,tweet,clean,injury_report,model_predictions
702,Bryce Harper is out of the game after getting hit by a deGrom changeup in the top of the sixth. Travis Jankowski now in right field.,Bryce Harper game getting hit deGrom changeup top sixth Travis Jankowski right field,1,0
703,@pastorjw @postage27 @loganstephens24 they are also surely being cautious with him. He has spent quite a bit of time on the IL the last couple years,pastorjw postage loganstephens also surely cautious He spent quite bit time IL last couple years,1,0
716,"Medical Update on Mike Soroka – This past Thursday while walking to the clubhouse at Truist Park, Mike Soroka felt a pop in his right Achilles.",Medical Update Mike Soroka This past Thursday walking clubhouse Truist Park Mike Soroka felt pop right Achilles,1,0
771,"Our Injured List Ledger, maintained and visualized by @drhoa3 was cited on ESPN tonight. You can find it here, and access it as a subscriber to Baseball Prospectus:   https://t.co/vPZuffZHEb  (h/t @SoCal_Librarian for the image)  https://t.co/25siKeQRQS",Our Injured List Ledger maintained visualized drhoa cited ESPN tonight You find access subscriber Baseball Prospectus httpstcovPZuffZHEb ht SoCalLibrarian image httpstcosiKeQRQS,1,0
864,Aaron Boone said Clint Frazier has been able to work out and run but hasn’t done any baseball activities while he’s been out. #Yankees,Aaron Boone said Clint Frazier able work run done baseball activities Yankees,1,0
955,"After cart got to the walkway by the dugout that leads to clubhouse, Acuña had to be carried off the cart and up the hallway.",After cart got walkway dugout leads clubhouse Acuña carried cart hallway,1,0
1041,"“When you start making moves out of team needs that aren’t necessarily driven by the player’s own development, you can get into trouble that way.""  Spoke to Chaim Bloom about why the Red Sox waited until now to call up Jarren Duran:  https://t.co/srigyWqYqD via @bostonherald",When start making moves team needs necessarily driven player development get trouble way Spoke Chaim Bloom Red Sox waited call Jarren Duran httpstcosrigyWqYqD via bostonherald,1,0
1081,If the #MNTwins are using the deadline as leverage and trying to sign Buxton to a deal like that while he’s hurt I don’t see much path for a positive outcome and that stinks.,If MNTwins using deadline leverage trying sign Buxton deal like hurt I see much path positive outcome stinks,1,0
1123,@EdCampb93252634 Injury to Gabriel Cancel. QC has an abundance of infielders so they can afford to lose the bat. Govern has handled it there before,EdCampb Injury Gabriel Cancel QC abundance infielders afford lose bat Govern handled,1,0
1163,Chisholm and Cooper to the IL. #JuntosMiami,Chisholm Cooper IL JuntosMiami,1,0
1178,"At this point in the season, I cannot remember for the life of me:   • What day of the week it is (Thursday, apparently) • How far we are from the trade deadline (two weeks) • Who is on the IL for the Yankees (a lot of guys)  • My personal limits on caffeine consumption",At point season I remember life What day week Thursday apparently How far trade deadline two weeks Who IL Yankees lot guys My personal limits caffeine consumption,1,0
1222,I don’t know anybody who loves anything more than Buck Martinez talking about catchers going to one knee,I know anybody loves anything Buck Martinez talking catchers going one knee,1,0
1236,"Rob Refsnyder has reached base three times in his first game off the IL, and he scores an insurance run on a two-out, opportunistic bunt single by Andrelton Simmons. No chance at first base.  5-1 Twins.",Rob Refsnyder reached base three times first game IL scores insurance run twoout opportunistic bunt single Andrelton Simmons No chance first base Twins,1,0
1239,"Cora said Sale and Seabold will both throw live BP in Fort Myers on Tuesday. Sale will work two innings, Seabold will work three innings. #RedSox",Cora said Sale Seabold throw live BP Fort Myers Tuesday Sale work two innings Seabold work three innings RedSox,1,0
1242,@TonyTravisano13 @RandRCigars I think they get rid of a pitcher - either IL or DFA. They have 14 now,TonyTravisano RandRCigars I think get rid pitcher either IL DFA They,1,0
1256,And 2 weeks later still not doing baseball activities...,And weeks later still baseball activities,1,0
1278,"Tyler Naquin had been the Reds best hitter over the last two weeks, keeping the offense rolling when Jesse Winker went on the IL.",Tyler Naquin Reds best hitter last two weeks keeping offense rolling Jesse Winker went IL,1,0
1299,"The Giants just put 40 percent of their starting rotation on the Injured List. People up north, they're just like us!",The Giants put percent starting rotation Injured List People north like us,1,0
1300,@MaryL1973 Injury. Looked like a hammie running to 1B.,MaryL Injury Looked like hammie running B,1,0
1311,"The #Reds have spent the entire year dealing with their brightest stars spending time on the IL, but the numbers with Jesse Winker out of the lineup are staggering. #ATOBTTR Reds are missing the straw that stirs the drink (via @DrewKoch714)  https://t.co/F39iro6GFi",The Reds spent entire year dealing brightest stars spending time IL numbers Jesse Winker lineup staggering ATOBTTR Reds missing straw stirs drink via DrewKoch httpstcoFiroGFi,1,0
1313,@faus24 @Phillies Yup. But they were not healthy enough to trade.,faus Phillies Yup But healthy enough trade,1,0
1315,Finally some good news amidst the @Yankees' COVID-19 breakout.  https://t.co/0zOr1crKvI,Finally good news amidst Yankees COVID breakout httpstcozOrcrKvI,1,0
1328,"No timeline on Trout or Rendon, Walsh to IL, can Cobb pitch next time up? Hard to see a reason why this team can become buyers in the next two days.",No timeline Trout Rendon Walsh IL Cobb pitch next time Hard see reason team become buyers next two days,1,0
1330,"By moving Waddell to the COVID IL, they open a 40-man spot for McFarland.",By moving Waddell COVID IL open man spot McFarland,1,0
1389,"Before Tromp flied out, Johnny Cueto was in the on-deck circle. The Giants only have Posey left. Even Gausman, their hit leader among pitchers, is unavailable due to the Covid IL. (Webb can swing it, though.)",Before Tromp flied Johnny Cueto ondeck circle The Giants Posey left Even Gausman hit leader among pitchers unavailable due Covid IL Webb swing though,1,0
1417,"1 hour to go in this year's trading deadline.  Cleveland was able to move Eddie Rosario while on the IL earlier to the Braves for Pablo Sandoval.  Sandoval is unlikely to impact Cleveland's roster much.  In reality, Cleveland was lucky to find a deal to move Rosario at this point",hour go years trading deadline Cleveland able move Eddie Rosario IL earlier Braves Pablo Sandoval Sandoval unlikely impact Clevelands roster much In reality Cleveland lucky find deal move Rosario point,1,0
1439,And we're back down to only 11 on the IL!,And back IL,1,0
1441,José Ramírez being taken to hospital to be checked after fouling ball off his face.  Not sure what else can happen to the #Indians.,José Ramírez taken hospital checked fouling ball face Not sure else happen Indians,1,0
1461,Mets built a 3-0 lead with a big first inning against David Price. They showed aggressiveness on the base paths and Javier Báez had an RBI double in his first ab back from the IL,Mets built lead big first inning David Price They showed aggressiveness base paths Javier Báez RBI double first ab back IL,1,0
1479,The Brewers keep losing players to the COVID-19 IL. And they keep on winning.   Here’s more on a milestone night for Craig Counsell.   https://t.co/qE1uDES8ZG,The Brewers keep losing players COVID IL And keep winning Here milestone night Craig Counsell httpstcoqEuDESZG,1,0
1481,Just IL the guy,Just IL guy,1,0
1537,Boomstick on COVID IL.,Boomstick COVID IL,1,0
1560,X rays negative for Posey.,X rays negative Posey,1,0
1629,Yanks' Cole K's 9 in win following bout with COVID  https://t.co/9uP74F1G9L #Yankees  https://t.co/04rsRJ8wGn,Yanks Cole Ks win following bout COVID httpstcouPFGL Yankees httpstcorsRJwGn,1,0
1632,Hicks is just now beginning to play catch. Shildt said he’s still a ways away from full baseball activities.,Hicks beginning play catch Shildt said still ways away full baseball activities,1,0
1648,"For all of our AMAZING technological advances, sometimes the answer -- still -- is, ""I don't know. Let's give it a week and see how it feels, then.""  P.S. MRI imaging, at best, is still at the bundle level. Sometimes you can measure gaps/laxity, but that isn't typically done.",For AMAZING technological advances sometimes answer still I know Lets give week see feels PS MRI imaging best still bundle level Sometimes measure gapslaxity typically done,1,0
1696,(2/2) It’s a tremendously sad day and Canada stands shoulder to shoulder tonight with our greatest friend and ally.,It tremendously sad day Canada stands shoulder shoulder tonight greatest friend ally,1,0
1748,At this point it may be easier for the #Brewers to make daily announcements as to who did NOT test positive for Covid.,At point may easier Brewers make daily announcements NOT test positive Covid,1,0
1766,Aaron Hicks is headed to the IL #yankees,Aaron Hicks headed IL yankees,1,0
1769,Rendon was out on the field pregame in Seattle last weekend. Now the latest in Angels players to need longer than expected on the IL.,Rendon field pregame Seattle last weekend Now latest Angels players need longer expected IL,1,0
1775,Carlos Martinez Undergoes Thumb Surgery  https://t.co/82DJN2Ksbb  https://t.co/tz4hLdzvKR,Carlos Martinez Undergoes Thumb Surgery httpstcoDJNKsbb httpstcotzhLdzvKR,1,0
1795,A man is in custody and a woman has been taken to hospital with serious injuries after a stabbing at a facility at King and Sherbourne streets Wednesday afternoon.  https://t.co/sb27WWdr9R,A man custody woman taken hospital serious injuries stabbing facility King Sherbourne streets Wednesday afternoon httpstcosbWWdrR,1,0
1798,Injury? Rain? Mechanics? Some combination of the three?  Fair number of footballs skipping along the practice field turf Monday.  https://t.co/uEslFOyOLg,Injury Rain Mechanics Some combination three Fair number footballs skipping along practice field turf Monday httpstcouEslFOyOLg,1,0
1848,@Crewsett remotely though because he has COVID,Crewsett remotely though COVID,1,0
1851,"Derek Hill, first at-bat off the IL, sharp single to center.",Derek Hill first atbat IL sharp single center,1,0
1890,He got hurt Tuesday night.,He got hurt Tuesday night,1,0
1892,Injuries have left the #Nationals’ rotation shaky looking toward the second half writes @martyball98:  https://t.co/ZpPIZ8PUxY,Injuries left Nationals rotation shaky looking toward second half writes martyball httpstcoZpPIZPUxY,1,0
1976,"Since coming back from the IL, Patrick Bailey's been swinging a hot stick, Plus, Hunter's big bro ends a homestand in style! Catch up on all of last night's action around #ResilientSF farm system at There R Giants ($) @IBWAA @SJGiants @RiverCats  https://t.co/mcTLtHDLef",Since coming back IL Patrick Baileys swinging hot stick Plus Hunters big bro ends homestand style Catch last nights action around ResilientSF farm system There R Giants IBWAA SJGiants RiverCats httpstcomcTLtHDLef,1,0
2005,"Dodgers @ Phillies Aug. 11, 2021: Price vs. Gibson; Mookie to IL - Via @DustinNosler -  https://t.co/RbkfLABq0Y  https://t.co/3KWVVsrUss",Dodgers Phillies Aug Price vs Gibson Mookie IL Via DustinNosler httpstcoRbkfLABqY httpstcoKWVVsrUss,1,0
2092,"@royals_chiefs25 He’s on the IL but he was doing fine. Results were pretty good, not great, but the stuff looked much improved at times.",royalschiefs He IL fine Results pretty good great stuff looked much improved times,1,0
2149,The Pirates swapping starters on/off the IL.,The Pirates swapping starters onoff IL,1,0
2198,"@ChrisCotillo So they can just take guys off the 40 if they have guys on the covid IL who they're replacing?  In other words they definitely do that with Peacock and Gonsalves next, right?",ChrisCotillo So take guys guys covid IL replacing In words definitely Peacock Gonsalves next right,1,0
2219,"Torres could be back Friday, but the Yanks will hold their breath for Urshela's MRI:  https://t.co/v9XGUuj6Gv",Torres could back Friday Yanks hold breath Urshelas MRI httpstcovXGUujGv,1,0
2240,Moose and Maggie react to Gleyber Torres joining the long line of Yankees currently on the IL:  https://t.co/osEZKc3ORX,Moose Maggie react Gleyber Torres joining long line Yankees currently IL httpstcoosEZKcORX,1,0
2313,We know #Jays need bullpen help. But nucleus of team is great and YOUNG. I'm not prepared to advocate giving away farm for some veteran reliever who is having a good year who might flame out quickly. Many don't want to hear this - but patience required. Injuries a big factor.,We know Jays need bullpen help But nucleus team great YOUNG I prepared advocate giving away farm veteran reliever good year might flame quickly Many want hear patience required Injuries big factor,1,0
2317,"By the way, one of the bright spots today was Taylor Jones… who also had the 2-run HR Friday. Not available Thursday because of Robel and stalling on the inevitable IL decision.",By way one bright spots today Taylor also run HR Friday Not available Thursday Robel stalling inevitable IL decision,1,0
2331,The attorneys said their new firm is a boutique law practice that will focus on wrongful death and catastrophic personal injury matters for plaintiffs. #phoenix #flagstaff   https://t.co/nqqXqOVkDz,The attorneys said new firm boutique law practice focus wrongful death catastrophic personal injury matters plaintiffs phoenix flagstaff httpstconqqXqOVkDz,1,0
2337,Family says former Auburn linebacker died due to COVID-19  https://t.co/JELgH1PiyO,Family says former Auburn linebacker died due COVID httpstcoJELgHPiyO,1,0
2399,"Yes, McCormick is on the IL. This was tweeted before it was announced.   Kyle Tucker is back 👑",Yes McCormick IL This tweeted announced Kyle Tucker back,1,0
2400,@tim815 @r22_andy @PleaseTalkToMe1 Hoerner to the 60 IL send down one of Meisinger/sampson or Hoener to the 10 IL and DFA Brothers,tim randy PleaseTalkToMe Hoerner IL send one Meisingersampson Hoener IL DFA Brothers,1,0
2429,Injuries could test Mizzou's depth at wide receiver  https://t.co/oJbhgkjbNe,Injuries could test Mizzous depth wide receiver httpstcooJbhgkjbNe,1,0
2488,Injuries are exposing Patriots’ lack of depth at certain positions  https://t.co/T0TlEvaRkh,Injuries exposing Patriots lack depth certain positions httpstcoTTlEvaRkh,1,0
2558,"Zack Britton is back and Trey Amburgey is finally getting his shot, but the #Yankees now have three pitchers on the COVID-19 IL:  https://t.co/xRLDXKxp0b",Zack Britton back Trey Amburgey finally getting shot Yankees three pitchers COVID IL httpstcoxRLDXKxpb,1,0
2575,@TheRealHampton4 He hit the IL early and just hasn’t been the same. Those homers in philly have derailed him for sure,TheRealHampton He hit IL early Those homers philly derailed sure,1,0
2588,On the @DannyMacTV show w/@BKSportsTalk Podcast  - Who do the #STLFLY turn to with C-Mart going to the IL? - Is Ovieado about to take the next step? - @USABaseball Bench Coach Jerry Weinstein (@JWonCATCHING)   Podcast Presented By @EyePromiseGG:  https://t.co/CloBWJUuTj  https://t.co/g8qscVbAc6,On DannyMacTV show wBKSportsTalk Podcast Who STLFLY turn CMart going IL Is Ovieado take next step USABaseball Bench Coach Jerry Weinstein JWonCATCHING Podcast Presented By EyePromiseGG httpstcoCloBWJUuTj httpstcogqscVbAc,1,0
2592,"wake up, it's an Andrew Knizner start! Nick Castellanos, though, is on the IL all weekend.  tonight, against RHP Tyler Mahle:  Carlson RF Goldschmidt 1B Arenado 3B O'Neill LF DeJong SS Bader CF Edman 2B Knizner C LeBlanc LHP",wake Andrew Knizner start Nick Castellanos though IL weekend tonight RHP Tyler Mahle Carlson RF Goldschmidt B Arenado B ONeill LF DeJong SS Bader CF Edman B Knizner C LeBlanc LHP,1,0
2627,@johairolopez of course it was. He pulled his oblique when swinging a bat in a game.,johairolopez course He pulled oblique swinging bat game,1,0
2639,@renabanena I Kent-amagine he did given he is on the IL,renabanena I Kentamagine given IL,1,0
2646,@dscruggs1313 Still IL,dscruggs Still IL,1,0
2653,Arrieta joins Sogard on the phantom IL,Arrieta joins Sogard phantom IL,1,0
2757,"@bcasey55 We are promoting a 2x MLB All-Star and World Series Champion Rehab Assignment the same way we have done throughout our existence as a MiLB team, whether for the home or visiting team.",bcasey We promoting x MLB AllStar World Series Champion Rehab Assignment way done throughout existence MiLB team whether home visiting team,1,0
2763,"Five Stars Of Cub Farm, 7/20.  5. Rehabbing arms: Rowan Wick (in SB) and Chris Clarke (in ACL).  4. 2 hits in short-season ball: Hernández, Ballesteros, Preciado.  3. Delvin Zinn. 40 steals in 60 games. 💨  2. I-Cubs offense. Particularly Hermosillo.  1. Pablo Aliendo. On the 🗺.",Five Stars Of Cub Farm Rehabbing arms Rowan Wick SB Chris Clarke ACL hits shortseason ball Hernández Ballesteros Preciado Delvin Zinn steals games ICubs offense Particularly Hermosillo Pablo Aliendo On,1,0
2811,"From last night:  -Another comeback -Ohtani's record-tying 31st home run -The perils of an overworked bullpen -Injury updates on Rendon, Ward, Upton  And more here:  https://t.co/mhgCFTlTFA",From last night Another comeback Ohtanis recordtying st home run The perils overworked bullpen Injury updates Rendon Ward Upton And httpstcomhgCFTlTFA,1,0
2821,"Rough night for Johnny Cueto, just off COVID IL; offense slim in Giants' loss;defense not great, OF not producing much - but Quintana was very good as a one saving grace  https://t.co/J8E3fVHXJU via @sfchronicle",Rough night Johnny Cueto COVID IL offense slim Giants lossdefense great OF producing much Quintana good one saving grace httpstcoJEfVHXJU via sfchronicle,1,0
2892,"As easy as snap, crackle, Pop!  Zach Pop gets through a scoreless frame on a MLB Rehab Assignment in Jupiter, hitting 9⃣6⃣.1⃣ MPH on the radar! #HammerDown  https://t.co/CZ6N3R3veM",As easy snap crackle Pop Zach Pop gets scoreless frame MLB Rehab Assignment Jupiter hitting MPH radar HammerDown httpstcoCZNRveM,1,0
2901,Clint Frazier on the IL with vertigo; Tim Locastro to platoon in center  https://t.co/PjSfli177L via @northjersey,Clint Frazier IL vertigo Tim Locastro platoon center httpstcoPjSfliL via northjersey,1,0
2902,"@MikeSilvaMedia Fans are conflating past disappointment and can’t see the forest for the trees this year.  Conforto and Lindor had down years, no Cano, Davis and McNeil regressed, deGrom on IL for extended period, no Carrasco until recently, no Syndergaard.  What do people want them to do?",MikeSilvaMedia Fans conflating past disappointment see forest trees year Conforto Lindor years Cano Davis McNeil regressed deGrom IL extended period Carrasco recently Syndergaard What people want,1,0
2906,He also said this is his style of pitching. Said it was harder earlier in the year when he was hurt and not going well to be as expressive as he likes to be.,He also said style pitching Said harder earlier year hurt going well expressive likes,1,0
2926,"González in his return off the IL went:  single single sac fly double double strikeout  Giants lead, 7-2",González return IL went single single sac fly double double strikeout Giants lead,1,0
2937,Kiké Hernandez swung at ball four leading off the 9th.  Aroldis Chapman fresh off the IL might give you a look at an explosion if allowed. Doesn't feel like that kind of night. #RedSox,Kiké Hernandez swung ball four leading th Aroldis Chapman fresh IL might give look explosion allowed Doesnt feel like kind night RedSox,1,0
2990,"Rough #Yankees debut for Heaney, putting it mildly: four HRs in 4 IP, could’ve been worse w/o Gallo’s leaping catch which saved another run. Heaney was acquired to replace Nestor Cortes before German went on the IL. First impression: Cortes’ stuff  funkier, more creative.",Rough Yankees debut Heaney putting mildly four HRs IP could worse wo Gallo leaping catch saved another run Heaney acquired replace Nestor Cortes German went IL First impression Cortes stuff funkier creative,1,0
3024,"ICYMI: Alex Bregman is on a Major League Rehab Assignment at #DellDiamond. He is expected to start at third base and hit lead off in tonight’s (Saturday, August 7) 7:05 p.m. game.   🎟:  https://t.co/UIwg1juVu1  https://t.co/4Rluq80gyE",ICYMI Alex Bregman Major League Rehab Assignment DellDiamond He expected start third base hit lead tonight Saturday August pm game httpstcoUIwgjuVu httpstcoRluqgyE,1,0
3041,"What this could mean is, with Michael Conforto coming around and JD earning his keep, Dominic Smith could either hit the IL or see a reduced role.",What could mean Michael Conforto coming around JD earning keep Dominic Smith could either hit IL see reduced role,1,0
3046,@LouDiPietroWFAN @jrobertmartinez ...Nestor/Wandy to COVID list.,LouDiPietroWFAN jrobertmartinez NestorWandy COVID list,1,0
3049,Dave Martinez and a trainer are now coming out to look at Kyle McGowin.,Dave Martinez trainer coming look Kyle McGowin,1,0
3055,"Willy Adames drives in four runs, Kolten Wong collects three hits in his return from the IL as the Brewers pummel the Reds.          https://t.co/a1Mruebks5",Willy Adames drives four runs Kolten Wong collects three hits return IL Brewers pummel Reds httpstcoaMruebks,1,0
3069,"Rob Refsnyder has reached base four times in his first game off the IL. Single, double, two walks.",Rob Refsnyder reached base four times first game IL Single double two walks,1,0
3085,A 6-5 loss leads the Washington #Nationals to be swept by the NL East first-place Atlanta Braves and Nationals Pitcher Joe Ross goes on the IL. #Nats #Natitude   https://t.co/Wwn96Lvl1m,A loss leads Washington Nationals swept NL East firstplace Atlanta Braves Nationals Pitcher Joe Ross goes IL Nats Natitude httpstcoWwnLvlm,1,0
3092,#Marlins roster moves: #JuntosMiami   - Jazz to IL - Guenther optioned - Morimando and Marrero called-up,Marlins roster moves JuntosMiami Jazz IL Guenther optioned Morimando Marrero calledup,1,0
3185,Stop by @TwinsDaily and check out some of this week's topics for discussion.  3 Key Injury Replacements  https://t.co/Z5Bl8pGn9S  Sano's Streakiness   https://t.co/Vx9OjEKN3y  Maeda's Fight for Control   https://t.co/9hVFBcRL5f,Stop TwinsDaily check weeks topics discussion Key Injury Replacements httpstcoZBlpGnS Sanos Streakiness httpstcoVxOjEKNy Maedas Fight Control httpstcohVFBcRLf,1,0
3190,"With Fernando Tatis Jr. on the IL, the Padres only have three All-Stars in their infield now.  An Adam Frazier walk, a Manny Machado rope, a Jake Cronenworth gapper, and it's 2-0 Padres in the first.",With Fernando Tatis Jr IL Padres three AllStars infield An Adam Frazier walk Manny Machado rope Jake Cronenworth gapper Padres first,1,0
3191,BECAUSE HE JUST RECOVERED FROM COVID!!!!!!!!!,BECAUSE HE JUST RECOVERED FROM COVID,1,0
3242,"Nick Castellanos is watching the game from the dugout railing. Hopefully, it's a good sign that he's back in the dugout after he was hit by a pitch and left the game in the 4th inning. #Reds",Nick Castellanos watching game dugout railing Hopefully good sign back dugout hit pitch left game th inning Reds,1,0
3257,"Blake Snell says he doesn't know what kind of illness he had, said it wasn't food poisoning and doesn't want people to think he's gassy.",Blake Snell says know kind illness said food poisoning want people think gassy,1,0
3269,US COVID Deaths Fully vaccinated (left) Not fully vaccinated (right)  https://t.co/Av3RjcTsCK,US COVID Deaths Fully vaccinated left Not fully vaccinated right httpstcoAvRjcTsCK,1,0
3275,@balldontlie1233 He hasn't spent 10 days on the IL yet.,balldontlie He spent days IL yet,1,0
3298,"#Phillies option 3B Alec Bohm to Triple-A to make room for 1B Rhys Hoskins, who is back from the IL.",Phillies option B Alec Bohm TripleA make room B Rhys Hoskins back IL,1,0
3347,"Ronald Acuña Jr. was walking off on his own power under the guidance of training staff, but he stopped and went to the ground toward the foul line.",Ronald Acuña Jr walking power guidance training staff stopped went ground toward foul line,1,0
3361,@george4593 doesn’t the whole team have COVID?,george whole team COVID,1,0
3365, https://t.co/NWnShahY9t,httpstcoNWnShahYt,1,0
3425,"Ahhhh, it’s Llovera and Brogdon to the IL",Ahhhh Llovera Brogdon IL,1,0
3433,"#Rays Walls said no doubt play in 3rd inning on the ball he fielded and then Franco collided with him was an error, should have been called that way from the start",Rays Walls said doubt play rd inning ball fielded Franco collided error called way start,1,0
3488,Kyle Schwarber is taking BP on the field at Camden Yards.,Kyle Schwarber taking BP field Camden Yards,1,0
3491,Worth noting that Gabriel Cancel was playing 3B for Omaha and is on the IL at the moment.,Worth noting Gabriel Cancel playing B Omaha IL moment,1,0
3495,"@bryce_spalding ya, you aren't going to find a pitcher with 2 more years of that kind of upside at a very cheap price. It sucks he doesn't have an option left. I wouldn't be surprised if they've tried to IL him and he doesn't want to do that",brycespalding ya going find pitcher years kind upside cheap price It sucks option left I would surprised tried IL want,1,0
3511,"Hell of a play in center by Luke Williams. With Odubel Herrera now on the IL, he will miss at least the first series back after the All-Star break, so a chance for Williams. Probably a platoon in CF with Travis Jankwoski.",Hell play center Luke Williams With Odubel Herrera IL miss least first series back AllStar break chance Williams Probably platoon CF Travis Jankwoski,1,0
