,index,tweet,injury_report
60,5706,"#Marlins beat the Dodgers, 5-4  -- Anthony Bender records first #MLB save -- David Hess wins his Marlins debut -- Dodgers' win streak ends at nine  Extra note: Great energy at loanDepot park tonight.",0
61,7535,"Announced attendance for #Rays-#Indians: 10,905",0
62,3805,"Um, thanks for following!",0
63,7026,"Matt Harvey has only thrown 18 pitches, but I feel like a lot has happened",0
64,13310,"Adam Eaton, released by the #Whitesox, lands a big-league job with the #Angels",0
65,3842,"Wily Peralta, in the year 2021, just pitched seven scoreless innings. Eight swings and misses with his changeup.  91 pitches, 61 strikes.",0
66,13425,🔜 the second half  https://t.co/QZbRQawAkl,0
67,4673,"Mitch Moreland didn't play today due to a non baseball related issue, Bob Melvin said.",0
68,4302,"Stephen Strasburg is ""close"" to going on a minor league rehab assignment, Davey Martinez said. But he left that timeline vague enough so that it could mean anything (pre-All-Star break, post-All-Star break).",1
69,10370,IT’S DAY BASEBALL SZN Y’ALL WAKE UP  https://t.co/tTWjiADnnr,0
70,1566,Christian Yelich swings at changeup off the plate and strikes out for the second time against Megill to end #Brewers third inning. No score.,0
71,663,"""If you know what winning looks like, you can weather some storms because you know how good you are.”  At midpoint, Padres' season has been up and down and typical  https://t.co/ZEWBUOiS2w",0
72,2159,@jackjack9298  https://t.co/t52EHJ6DS3,0
73,4136,"And a wind blown grand slam by Cutch. Jake Arrieta's last 1.2+ IP, he's given up 10 runs (7 ER)",0
74,5056,"Prior to tonight’s game, the Yankees made the follow roster moves: •Placed RHP Darren O’Day on the 10-day injured list with a left hamstring strain. •Recalled RHP Nick Nelson from Triple-A Scranton/Wilkes-Barre.",1
75,1286,Cristian Javier is warming,0
76,1194,"J.D. Martinez is an All-Star again.  The Red Sox are sending 5 players to Denver: Xander Bogaerts, Rafael Devers, J.D. Martinez, Matt Barnes and Nathan Eovaldi.",0
77,15069,Don Cheadle Reacts to Emmy Nomination for 98-Second Cameo  https://t.co/7SgOlNHxXA,0
78,13055,Christian Arroyo practicing short-hops at first.  https://t.co/0Ul8dkUzuX,0
79,1663,"Joe Maddon said Kevin Cash (who is managing the AL team in the ASG) told him he would have Shohei Ohtani play both ways in the All-Star Game  They’re just figuring out how exactly it will work, when he will pitch, how many ABs he’ll take, etc…",0
80,4841,Hot take: I actually enjoy the wave at sports stadiums.   It looks cool and it's silly and I like things that are silly and look cool.,0
81,12217,"The  Yankees, outhitting the Astros 12-3 at the moment, have outhit the opposition a collective 41-16 so far this trip.",0
82,2437,@Bnerks Yes to everything about this tweet.,0
83,12420,"Shohei Ohtani on June 27: ""I'd like to hit one every game.""  Well...",0
84,6235,"Casey Mize is back out for the fourth inning to face Adolis Garcia, Joey Gallo and John Hicks.  They went 2-for-3 against Mize the first time around. He starts the fourth at 35 pitches.",0
85,8060,@_NoahHiles When you see someone not using advanced metrics in stories about prospects  https://t.co/jjNTXQaeNI,0
86,1352,"Tatis said Ronald Acuña Jr. had been trying to convince him to participate. ""I told him to have fun this year,"" Tatis said, ""but next time I go, I'm gonna win it.""",0
87,4913,"REPOST: Indians activate catcher Pérez, sidelined since early May  https://t.co/tgzK113gEl",1
88,9418,Tatis doubles to snap a streak of nine straight retired by Zack Wheeler.   Two outs in the,0
89,3644,"With his 2nd inning single, @MiguelCabrera now has 2,873 hits in his career, tying him with Babe Ruth for 45th place in MLB history.",0
90,6667,"In news that shouldn't surprise anyone, #Marlins rookie LHP Trevor Rogers is an All-Star.",0
91,3481,Reds ace Luis Castillo pitched seven innings and allowed just three hits and one run.  You can make the argument that this was just his third best start over the last three weeks.   He has been that good: he has a 2.00 ERA in seven starts during June and July.,0
92,7211,"Yankees lineup tonight at Buffalo vs. Blue Jays... 1. LeMahieu, 1B 2. Judge, RF 3. Torres, SS 4. Stanton, DH 5. Sanchez, C 6. Urshela, 3B 7. Gardner, CF 8. Andujar, LF 9. Wade, 2B SP: King, RHP",0
93,6219,"Casey Mize: ""We come into every game expecting to win and knowing that we have a chance to, which is just an awesome feeling."" #Tigers  https://t.co/QVLB7it5h2",0
94,13252,"The statistical case is clear: The Negro Leagues were Major Leagues.  Listen to the latest episode of our podcast about the history of Black baseball on Spotify, Apple, or wherever you get your podcasts  https://t.co/KE3E5ETLTm",0
95,7748,@MBWsports good question,0
96,6885,"Buster Posey will be a seven-time All-Star, voted in as the NL starter at catcher.  Fernando Tatis Jr. will be the NL starter at shortstop, with Brandon Crawford getting 17 percent of the phase 2 vote. He'll probably be a reserve.",0
97,2374,@elizlk April,0
98,8258,"By the time the Reds leave Milwaukee on Sunday, Cincinnati could be anywhere between 2 games back in the NL Central and 10 games back in the NL Central.   What a big series heading into the All-Star break.  https://t.co/3fsqdLVIG2",0
99,4085,Shohei Ohtani will play both ways tonight  https://t.co/51hzRxTSOj,0
100,391,"The last time the Brewers won a home game with 2 hits-or-fewer was May 22, 2011 when they had 2 in a 3-1 win over the the Rockies.",0
101,10762,@alannah0219 @JAguilarMKE he's the best,0
102,10688,@RandyGr37285753 Ah Randy this is so pure thank you!  (Ratio means more people respond in the comments than the likes. Usually means the news isn't good).,0
103,1922,"@Steelfrmblawnox Yes, but they still need to field a team for games.  And they probably would prefer not to be forced to make a move on their 40-man roster.",0
104,9980,@_johnfh What does that even mean?,0
105,7276,Shohei Ohtani hits No. 32. The Angels now lead 3-2. Line drive to right field.  Every day he does something amazing.,0
106,13148,"Rich Eisen posts about fighting COVID-19 symptoms despite full vaccination, encourages others to get vaccinated  https://t.co/KVGD5fewAH  https://t.co/os6stdGZE9",0
107,457,Well if that wasn't the most symbolic play of the Cardinals offense this last month idk what is.,0
108,9985,"@DirtyBirdy02 @Starting9 Makes no sense. He's worth far more to Braves franchise than he is as a 3-month rental for another team. If you were gonna trade him rather than sign him to extension, last winter would've been time to do that. You wouldn't get nearly enough in return now to justify fan outrage.",0
109,1795,"Cora comes to get Richards after 5 2/3 innings with a runner on first. Sawamura entering. Richards' first two innings were *brutal*, making the in-game adjustments in the third, fourth and fifth pretty remarkable.",0
110,10063,"Another day, another big left-on-left hit for Trevor Larnach.  He's beat by a Skubal fastball, but he just gets enough to dribble it up the third-base line for an RBI knock. That'll work. 3-2 Tigers.",0
111,10886,"Frankie Montas ""might have had his best overall stuff of the year"" and delivered the outing the #Athletics needed to salvage their finale in Houston:   https://t.co/MQIw31NKce",0
112,7872,"In the wake of Carlos Martínez's injury, the Cardinals rotation looks like this  1. Adam Wainwright 2. Kwang Hyun Kim 3. Johan Oviedo 4. Wade LeBlanc (start tomorrow) 5.  Do you move John Gant back? Call up someone? Make a deal? Going to be fascinating to follow out of the break.",1
113,14444,An unforgettable night thanks to these guys 🤝  https://t.co/Fqvc9QBztV,0
114,13248,Two down – five more to go.  Nolan Ryan tossed his second no-hitter of the season – also the second of his career – for the @Angels 48 years ago today. (Photo: Doug McWilliams)  https://t.co/DB683uOkyc  https://t.co/gUYRAbqSAq,0
115,5150,"@chrislewisASU He's been here like four hours, relax",0
116,3581,"With his double in the 6th inning, @MiguelCabrera now has 5,001 total bases in his career, becoming the 22nd player in MLB history to reach the 5,000 total base mark.",0
117,1483,The Padres like to run and Jon Lester is of course susceptible to that. First stolen base of the night goes to Jake Cronenworth. We'll see if the Nationals can control it.,0
118,10579,This one was 462 feet. What is that in Coors distance?,0
119,13315,"Vladimir Guerrero Jr., MVP of the All-Star Game, gave the Baseball Hall of Fame his batting helmet and batting gloves he wore in Tuesday’s game.",0
120,9637,"Full story: Correa, Altuve to skip All-Star Game  https://t.co/Cu0UStlIeV",0
121,13114,FIBA refs watching these NBA rules absolutely disgusted. That’s before the shot.,0
122,1131,"Hey Twitter, let's try something a little different...  I get giveaway items at ballparks all the time. They're better off in your homes than mine. So let's put them there and help @TheJimmyFund in the meantime.",0
123,5316,One-sixth of the Astros no-hitter in 2003 is moving on up.,0
124,5729,"@BravesFan4Life4 And were they all by the same team coached by the same manager? Funny you should ask! The answer is yes. Brian Snitker was the manager for the Braves when these Marlins were hit. To quote you: ""Just stop.""",0
125,14144,"Looks like Mariners seventh-rounder OF Colin Davis has signed and is on his way to Peoria. I’m pretty excited about Davis, the SoCon POY with a .351 average, 11 HR/18 2B, 18 SBs, and a 31:24 K:BB ratio.  https://t.co/kgZBpbamVI",0
126,14605,Somewhere Joey Votto is smiling.  https://t.co/YTJTvL5ogT,0
127,9520,"Julian Merryweather threw a “nice and easy” side this week, per Montoyo. He’ll follow same progression as Borucki: bullpen &gt; live BP &gt; rehab assignment.  Also, Alejandro Kirk has joined Toronto’s triple-A affiliate in Trenton. He’s eligible to return from 60-day IL on July 1.",1
128,11087,"Last year, Andrew Wantz was at home giving lessons. He wasn't being paid to play. Joe Maddon didn't know his name. He'd finished a rough stint at Double-A.  Recently, he became the first Angels player from the last 3 drafts to get called up.  Here's how:  https://t.co/jKgyagd0dB  https://t.co/piqDjqPNjc",0
129,10253,The battle for third place begins!  https://t.co/LdVgp9P6eD,0
130,2894,The long end of Short’s stick.  @zshort_20 | #DetroitRoots  https://t.co/ORmJ0TUaos,0
131,5110,Going for the Wednesday W.   #SquadUp  https://t.co/X7ZXFhAGcg,0
132,9828,Goodnight and GO VOTE (again)‼️  🗳️  https://t.co/8EZhynYoGy  https://t.co/G8FoXcHVaJ,0
133,11826,"How about that, Mitch Haniger sitting on that 2-0 pitch. Grand slam. Mariners lead, 7-3, B8.",0
134,15666,"Juan Soto, who pinch-hit last night, told Davey Martinez he still ""feels a twinge"" in his knee when he was running the bases. They're giving him today off (could still pinch-hit again) and will look to get him back in the lineup Tuesday in New York.",1
135,11453,@cdotharrison  https://t.co/PbGofyebmD,0
136,12428,"David Fletcher's hitting streak is up 22 games ... on a home run  1-0 #Angels, T1",0
137,7819,"The Minnesota animal race was *CARNAGE* today, dear god",0
138,1135,"Somewhat relatable Adam Ottavino:  ""I was trying to avoid it ever getting to that point. I had in the back of my mind, like, ‘Don’t let Ohtani come up.’ But of course, it happens.""",0
139,2675,"@BaseballGuys They're making the move now because of TS Elsa, which is scheduled to pass by the area Tuesday afternoon/evening.",0
140,10491,The Orioles are putting Maikel Franco (right ankle) on the injured list. Franco sprained his ankle last week in Houston and hasn't played since.   Recently-acquired Kelvin Gutierrez is being recalled from Triple-A Norfolk.,1
141,11322,The @Brewers and Reds begin a series in Milwaukee tonight — the eighth anniversary of this epic @RealCarlosGomez robbery of Joey Votto.  https://t.co/9r4DySob8X,0
142,14061,Next on @700wlw:  Brian Crosby of @Marvel joins me. He created this print....and his dad played for the #Reds. He will throw out 1st pitch Sat. and do @RedsMuseum meet-and-greet.,0
143,4965,"#Indians go up 1-0 in second on walk, single and wild pitch.",0
144,1610,Milwaukee Journal Sentinel: Brewers' Aaron Ashby optioned to Class AAA Nashville; Alec Bettinger recalled   https://t.co/DFSnn7gwRP,0
145,2493,Suarez has two strikeouts and two walks and is laboring through the first inning.,0
146,13005,*Must be age 21+ or older to win,0
147,972,"Cal Quantrill, after being tagged for 6 ER in 4 1/3 innings in his last start, is credited for 4 ER in 3 1/3 innings tonight (8 hits, 2 walks, 3 strikeouts, 67 pitches), including some damage after Phil Maton took over. Quantrill's ERA has risen from 2.74 to 4.11 in that time.",0
148,4611,"These two teams have traded robbed home runs the last two nights.  Juan Lagares makes an insane home-run robbing catch to keep the Angels in the lead, 3-2.",0
149,12020,@kmhull21 Nice of you to say. Thank you.,0
150,9886,@MR3402 @JeffFletcherOCR @lindseyadler That makes sense... still do think the two teams catch a bad break,0
151,11057,@mikeyM99 Hi Mikey. At this time we don't have any info on when a potential makeup game would be played.,0
152,8175,"And for you, Shohei Ohtani ...  https://t.co/Zybeo6noCV",0
153,11397,"Nicky Lopez knifes one to left field, scoring both Hunter Dozier and Michael A. Taylor. This game is tied 6-6 in the bottom of the ninth with Whit Merrifield up and Nicky Lopez on third.",0
154,9516,Tough not to like this trade for Blue Jays.  Acquire urgently needed bullpen help + possible LH bench bat later in season + cash  Give up excess part-time utility infielder + non-prospect  Tidy bit of business. Solid start to what should be an active trade deadline for the club.,0
155,10422,@IRLTimW Mmm...,0
156,11974,"J.P. Crawford spoke publicly for the first time since he was left off the All-Star roster:  ""I thought I had a shot to definitely be there. It’s a shame. I really wanted to represent Seattle.""   https://t.co/NTi1etSj5x",0
157,13851,"Making it somewhat less elite, I’d say.  https://t.co/JXKLnFtrvb",0
158,12992,Bleeding Yankee Blue: THREE GUYS THE MEDIA THINKS THE YANKEES SHOULD GRAB AT THE TRADE DEADLINE  https://t.co/qtr5qn6V7s,0
159,1079,"For the first time since April 22, the Reds are in second in the NL Central standings.  Over the last two games, Joey Votto led them there.   https://t.co/ScDqQK6xTm",0
160,4690,Sean Murphy reaches on a bloop single. Seth Brown triples. A's have a 1-0 lead.,0
161,14028,You must be new here.,0
162,10553,Travis Lakins Sr. will start tonight’s game for the Orioles. Alexander Wells available behind him for length.,0
163,6343,"Patrick Wisdom takes over at third for Bryant, whose hand got stepped on as he slid back in to second on a line drive in the first.",0
164,15213,Of course he did.  https://t.co/KmsEbfDkHw,0
165,13070,.@CoorsField always provides an amazing view. 😍  https://t.co/UBE5wCnwBp,0
166,12783,"What Peralta needed was the ""everything is a strike"" zone by O'Nora and Eddings in first two games of series. Then, Counsell figured Peralta got squeezed, and that's enough. Morales paying for the sins of his fellow umps in previous two games, and there were many.",0
167,2368,"Steven Duggar gets the Giants on the board with a two-out, 3-2 double off Walker Buehler. He's consistently having the best plate appearances of his career.",0
168,8339,@WorkHardRestUp The announcement is coming soon. Tomorrow ? Very soon.,0
169,14823,Our shortstop.  https://t.co/hSLa8jfJoW,0
170,11879,"oops, it was the top of the fourth. where has the time gone",0
171,14286,🚨BREAKING NEWS🚨  @KrisBryant_23 | @Cubs | @AllStarGame  https://t.co/4BzZlncsSk,0
172,2622,"Another two-run double for Reyes, though I thought Kiermaier may have had a play on that in real-time.  #Indians 8 #Rays 5 T6",0
173,4669,A’s place Mitch Moreland on the injured list. No disclosed reason. Stephen Piscotty reinstated from the IL.,1
174,8565,Part of #Cubs ownership family   |    |     | \|/  \|/  \|/,0
175,8302,Marlins choosing the compensatory pick FA route as opposed to a player trade return on July 30th would be sub optimal. Can a draft pick help next season ? Can’t keep kicking the can down the road. Extend or trade. 22 days to sort it out.,0
176,7146,"@sfgiantsfan021 I like the gist ... but do you mean the best using social, or the player who is best for us to Tweet about?",0
177,5419,"Today, we are with our Venezuelan community celebrating Independence Day.  https://t.co/cwScQTp5zy",0
178,1702,"Joe Maddon said the big thing Griffin Canning needs to work on is FB command, and let his other stuff play off that:  ""We need him to be more consistent as we move this whole thing forward ... He'll be back, and hopefully a better version of him returns.""",0
179,10195,"Dude. Trea Turner is 3-for-3 with two homers, a single and a stolen base. He has three RBI after mashing that homer to center off Daniel Camarena.   Wrote earlier this week about how valuable he is for this team:  https://t.co/vWlEliD8Xx",0
180,14790,"J.D. Davis hit the 4th home run of his rehab assignment tonight for Triple-A Syracuse 💪  Since restarting his rehab stint on July 1, Davis has gone 10-for-27 (.370 AVG), with 3 home runs, 4 doubles &amp; 6 RBI in 10 games.  He's also drawn 8 walks and put up a 1.380 OPS.  https://t.co/4TyQ6soAr0",1
181,12429,"More on Trout, per team: He has no throwing or hitting limitations right now. Just working his way through a running progression.",0
182,12689,"Joey Votto was tossed after the third base ump called him out on a check swing.  It’s the exact same thing that happened in San Diego, except the home plate ump didn’t get involved.",0
183,6722,"Cardinals drop the series finale to the Giants, 5-2, but it was a much more valiant effort over the last three games, and definitely a series to build off of.   Off-day tomorrow before a the final series of the first half, at Wrigley Field of course.",0
184,14435,Two days we won't soon forget.  Thanks to the @Rockies and the city of Denver for putting on a show!  https://t.co/wI1XBFYYOn,0
185,13989,@Bodaren Same! That year was 1980-81 though.,0
186,6798,"Darin Ruf, Thairo Estrada and Anthony DeSclafani turned a 3-6-1 double play and it looked like they've been doing that together for years.",0
187,11049,@EScriv58 Hi Ed. We are going to do everything we can to play tonight. We'll provide any updates using #FenwayWeather.,0
188,3661,Back-to-back walks for Emilio Pagán and the Nationals had guys on first and second with one out. Trea Turner popped up and now Tim Hill is coming in to face Juan Soto in a two-run game. Big spot.,0
189,3545,There is now a tarp covering Citi Field. ☹️,0
190,5929,"Look, I'm going to keep sharing this story because I guarantee it's going to brighten your day.  https://t.co/ZcQwT9GURZ",0
191,12876,"GOOD. VIBES. ONLY... #ATOBTTR!   FINAL: Reds 4, Brewers 3!   Celebrate at your neighborhood @Skyline_Chili!  https://t.co/cetRQ0GSFb",0
192,10937,From the Rangers research department: John Hicks is just the 2nd player in franchise history with 3 homers in his first 3 games with the team. The Senators Don Leppert accomplished that feat back in 1963. Leppert was also a catcher,0
193,10420,Nootbaar in the dugout ready to piinch hiit for LeBlanc.,0
194,3277,GAME-TYING GRAND SLAM  https://t.co/LAqSSwZ98A,0
195,13165,"🚨 Fernando Tatis Jr. appreciation post 🚨   We love you, @tatis_jr 🤎💛  https://t.co/ciuT5OkGHi",0
196,11576,@mxgirl00 @SFGiants Seriously? That’s what you got?😂,0
197,8480,"The nature of the selection process makes it more likely that the Tigers will send a pitcher. Yes, Casey Mize is a possibility, but don't count out Jose Cisnero or Gregory Soto .",0
198,8504,"Well done.   Marcus Diplan was a Tiger for a few months from Sept-December 2019, but never pitched in a game at any level. Claimed off waivers by Orioles.",0
199,1411,Manny Machado should wear the chain in the top of the ninth.,0
200,2429,Eddie's night on the mound:  https://t.co/PCPqxjMGEO,0
201,2229,"“To be that calm in these kinds of moments, those are the intangibles that nobody can teach."" Tyler Stephenson continues to impress his teammates as he delivers another walk-off hit. #Reds   https://t.co/QAKDX7RjBI",0
202,9696,@keifer66 No,0
203,4319,Watkins gets first major league win in #Orioles’ 7-5 victory   https://t.co/L8OPz7hzqH,0
204,9579,"Blue Jays are planning to have George Springer (quad strain) test his leg with some running on Thursday, per Montoyo.   Springer's been limited to only batting practice since going back on IL.",1
205,8813,"Bob Melvin said the bunt by Kemp in the 10th was a ""mix-up."" Of Kemp coming up again with a chance to win it in the 12th: ""You have to relish that opportunity again.""",0
206,12036,AJ strikes first.  https://t.co/Ca5IP06Omw,0
207,1834,@Itspatrick88 Gotta hit some HR in trades this month. Would help a lot,0
208,1973,@BasementSports1 I predicted 57-105.,0
209,871,Christian Arroyo joining us on Zoom. #RedSox,0
210,884,"Providence is a finalist for 2022 G/F Christian Watson. Marquette, Xavier, Rutgers, Georgetown, Miami, VCU, Penn State also listed.  Watson plays at St. John's College High in Washington, D.C. Grassroots standout with DC Premier. #pcbb",0
211,2899,"After today's W, we're 29-22 since May 8...  And 𝘁𝗶𝗺𝗲 𝗶𝘀 𝗿𝘂𝗻𝗻𝗶𝗻𝗴 𝗼𝘂𝘁 to get your lower-level tickets for $𝟭𝟳.𝟳𝟲 + 𝗻𝗼 𝗳𝗲𝗲𝘀!",0
212,7939,"Not really where you want an 0-2 slider, which became batting practice, 106.9 mph and 424 feet out into left field.  https://t.co/z437tVksOw",0
213,10621,Here’s the story about Bonilla and the Mets joining together on Bobby Bonilla Day to celebrate the day and promote a new offer to fans. New regime decides to join in on the fun. Details here.,0
214,1533,"I didn't realize ""questionable"" was an upgrade. Feel much better about myself.",0
215,10694,"Yadi follows with a single to the gap on the first pitch (shocker, I know) and the Cards have cut the deficit to 3-2.   Again, some good situational hitting.",0
216,11464,"Nogowski with his third hit of the night, a roller through the 5.5 hole. This man cannot be stopped",0
217,7250,Standing alone as the game's greatest DH.   #TBT x @DrSheffieldsNat  https://t.co/mGvZMtZlmZ,0
218,8256,"“Where I sit right now, when my turn comes available, I feel like I’ll be able to play.”  Gray is eligible to return a week from Sunday for the series finale against the Brewers.",0
219,10842,@SixtoMiami burgers are our weakness. any recs at our remaining stops?,0
220,3252,@angelsydd LOVE U 2,0
221,14229,"RIP, Dirt  https://t.co/T01pNS3Ymu",0
222,850,Could be a tough morning for Alfonso Marquez on @UmpScorecards later this Tuesday. Multiple pitchers and hitters have a legit beef with some of his calls in Anaheim this evening. #RedSox,0
223,6545,"@Bob_Hose I think it’s as simple as they view the extra pitcher as more likely to impact a game than Jones in the next several days now that Brantley, Tucker and Alvarez are back in there. Everyone in my mentions is overthinking it big time haha.",0
224,13693,"You can only pick 3 Baseball movies to watch for the rest of your life, GO! ⚾️🎥🍿 #Dodgers",0
225,963,"Jose Ramirez had some swelling after fouling a ball off his face. Team wants to have him checked out real quick, so he's being taken to the hospital to make sure everything is OK.   As for Roberto Perez, who left the game with the RubberDucks, Tito relayed that he's fine.",1
226,13970,Eric Karros Aramis Ramirez Sammy Sosa Kenny Lofton Mark Grudzielanek  Moises Alou Randall Simon  Mark Prior Kerry Wood Paul Bako,0
227,82,"Well, this is getting hairy. Miguel Castro faces three batters and retires none of them. One of those runs go on Taijuan Walker's line.  Castro out. Jeurys Familia in.  Mets 8, Yankees 3, bottom six.",0
228,389,David Ross said both Bryant and Rizzo took some swings and neither could give it a go late hence Lobaton getting an AB v Hader with the game on the line.,0
229,3429,.@FreddieFreeman5 is currently in 1st!   Help keep him there.   https://t.co/ioRpGuZgUB  https://t.co/FDNuc1zwfi,0
