,index,clean,injury_report
26,13632,RedsCountry DrewKoch Brachs IL Hoffman AG maybe Doolittle seem like logical choices Someone go Tejay returns depends whether Reds want continue keep relievers go back,1
27,9762,KevinKuzminski It Thanks,0
28,149,make Futures Game seven innings million midinning pitching changes,0
29,2557,MatthewHLeach hard argue httpstcomtQmMeM,0
30,10350,Brewers president baseball operations David Stearns talks trading B Rowdy Tellez httpstcoUKUjywX,0
31,8615,Gerrit Cole We talent room We need continue fight Anything possible YankeesZoomRoom httpstcoLyJsekwIn,0
32,3687,And road losing streak Rays beat BlueJays Buffalo,0
33,14142,It felt great It felt normal pitching front fans kind getting adrenaline rush back Felt really good The rehab process went really well looking forward contributing stretch iananderson making return httpstcoklUhOcl,1
34,8787,Jake Arrieta lasts IP back back starts Gives tonight With bases,0
35,1716,httpstcoMNFYNJWhq,0
36,4269,I asked Parra whether would still giving ling hugs Stephen Strasburg As I asked Strasburg walking I hope said smile,0
37,12007,Prior tonight game Yankees made following roster moves INFOF Miguel Andújar day injured list retroactive left wrist strain RHP Jonathan Loaisiga COVID injured list,1
38,11836,Posey said attend AllStar Game stay get treatment He said concerned Sunday thumb fractured slow heal Can catch swing right IL easy decision,1
39,5505,Kyle Farmer crushed ball top right field wall Hader With outs Reds runners first second,0
40,9479,Indians final game AllStar break postponed Apropos,0
41,931,Reports Ohtani gave Derby earnings LA staff Shohei ShoTime Ohtani earned competing Homerun Derby donated money members Los Angeles Angels support staff Friday according multiple reports httpstcosKvNwoH httpstconZxIBeoQ,0
42,628,FINAL Padres Phillies Roadtrip recap games rain delays Padres,0
43,4912,nflqa Fair,0
44,9793,If would told game Framber Valdez would give six runs first two innings I would assumed walked five guys Considering much stuff moves eight hits allowed already walks kinda nuts,0
45,322,Well Yankees little bit trouble Theyre tied last inning Mets bases loaded one TweetLikeSterls,0
46,7131,RyanDivish I stop thinking Billy Squier TBH,0
47,10444,ZachLinfield Nice see,0
48,12635,Updated Cleveland rosterdepth chart Franmil Reyes activated Day IL Yu Chang optioned httpstconIOciNAw Reyes DHingbatting th Friday OurCLE httpstcoyMvguJCVT,1
49,6332,David Harbour Hated Stranger Things Family Dog So Much He Requested It Be Killed Off httpstcoiRILza,0
50,718,Isan Díaz flies CF After four Padres lead,0
51,11868,Ryan Borucki scheduled throw another oneinning rehab outing today Trenton per Blue Jays manager Charlie Montoyo Club could Borucki throw another Tuesday want keep active allstar break,1
52,8740,jonbecker Over Push Under,0
53,2578,Maybe stay first base like literally base Ryan Weathers pitching,0
54,13993,Dbacks top prospect No overall draft pick Jordan Lawlar season shoulder injury httpstcoIMxtRZv,1
55,3390,HerrLizzie They typically plan ahead things probably safe bet already,0
56,13924,Adam Haseley still rehab highA apparently,1
57,5925,Two firstpitch hits Jose Altuve last two atbats one kickstart Chris Bassitts demise take lead,0
58,10292,limpbaddymormon leslieemullin chuxway named reserves Sunday game played next week get September anyone remember played first two innings opposed middle three,0
59,12962,The Orioles placed Keegan Akin Anthony Santander injured list morning We found soon Ryan McKenna Alexander Wells recalled,1
60,4514,jackramseymmo Nice,0
61,12371,Zach McKinstry said would close eyes making contact since returning IL Hes made correction starting see results,1
62,10031,Quesadilla Thought like queso Firstround exit,0
63,13599,How concerned tonight loss amp injury Darvish The Wrap Up show jonschaeffer amp JimRussellSD starts Padres XTRA iHeartRadio app LISTEN httpstcoWEcvGrS httpstcoLvkAcNHo,1
64,5091,Another day another ST Math accomplishment celebration httpstconHNVcOhYH,0
65,9953,The Astros four AllStars Jose Altuve th time Michael Brantley th time Carlos Correa nd time Ryan Pressly nd time,0
66,2610,TOE MY GOODNESS Stay hot Ronald RingTheBell httpstcoHxHkACabO,0
67,7379,Trea Turner steals second Juan Soto box So far tonight third inning Turner homer single steal Yu Darvish,0
68,5415,Max Stassi deep left Angels st Bad miss frontdoor cutter Nathan Eovaldi Leaked back Stassi piped bullpen RedSox httpstcouaYuytSwa,0
69,12455,Looks like got first rehab start summer sadlersquared mound oh ps birthday GoFrogs httpstcoCJnLDsItR,1
70,1596,Brad Miller homers left everyone complained lineup must turn game,0
71,13558,Fresh IL Michael Hermosillo reaches base four times including B HR Nelson Velazquez Nelson Maldonado also B HR Alexander Canario homers rd straight game Myrtle Beach wins th straight one walkoff fashion CubsDen httpstcowHIVWfjwOq,1
72,10011,LouisvilleBats httpstcooadKhgIh,0
73,11070,The Rays placed OF Manuel Margot left hamstring strain day IL retroactive recalled LHP Ryan Sherriff Durham added INFOF Vidal Brujan th man,1
74,870,GO AWAY Old lady yells httpstcozAeZolHIry,0
75,13052,Prior tonight game Yankees made following roster moves LHP Nestor Cortes RHP Jonathan Loaisiga COVID IL RHP Darren O Day day IL RHP Nick Nelson TripleA ScrantonWilkesBarre,1
76,11062,So Maikel Franco scratched Ankle must still bothering,1
77,10373,Jack Flaherty making friends bleacher bums rain httpstcouHuVVuCkL,0
78,2684,Soft RBI B CF cleanup batter Phil Gosselin yes cleanup batter gives Angels lead RedSox,0
79,4917,Shohei Ohtani gives twoout RBI single left JD Martinez Angels lead cut sixth Had chance escape jam striking Verdugo Martinez dropped single fastball,0
80,3817,Relive grandness last night On sixrun twoout explosion Harrison Baders return sparkplug reeling offense build Fridays final two innings httpstcofswflHRLV,0
81,7961,vballchick NBCSports RyanWTSP I saw video everyone going crazy I wanted see NBC would fair show Bolts fans going nuts apparently care showing Montreal fans,0
82,5800,brokerjeanne I,0
83,10385,wxmanko Boone said needed make sure Green would available Game,0
84,10724,RedSox officially reinstate Christian Arroyo right knee day IL option Michael Chavis TripleA Worcester Boston reinstates Eduard Bazardo right lat strain minor league IL options Worcester places day IL,1
85,4555,A win tonight Astros Detroit would tie franchise record longest winning streak games mark reached three times Sept AugSept June The longest winning streak MLB season As gamer April,0
86,4827,Make advanced defensive metrics since factored WAR calculation Smith graded positively overall defense DRS SB runs saved framing according FanGraphs,0
87,2752,BegMercy It real better worse,0
88,4999,yohinori blending together tbh,0
89,6939,BarstoolHubbs barstoolcarl idiot hour smart less minutes,0
90,11642,If keeping track home The Astros Orioles combined use pitchers last night Then today starters left second inning injury The Os already planning bullpen day,1
91,6792,Joe knows I Manny Machado homered twice got nothing else hit Padres routed Phillies salvage wet road trip httpstcolsgSfc httpstcoDQHXioYqT,0
92,11871,Astros outfielder Michael Brantley said decision skip AllStar Game tough one He said talked dad family team medical staff making decision rest sore right side httpstcohTGjSGzfp,1
93,3916,REMINDER send fan questions Alex Wood Today GCast interview driven YOU Awood SFGiants Whatcha wan na,0
94,13589,A closed FRONT foot cause problems BACK leg due rebound As happened Mike Trout They put weight front foot position get,1
95,11219,Kershaw undergo testing Dodgers return LA,1
96,6196,Put board httpstcoSKGRUUsQ,0
97,9203,This play,0
98,11049,Erik Gonzalez progressing faster envisioned resumed running Kaai Tom resumed baseball activities throwing hitting made nice progression Pirates optimistic back shortly AllStar break,1
99,475,During game span Tigers scored runs allowed runs exceeding expected record couple games,0
100,13549,Moves Pensacola OF JD Orr IF Galli Cribbs IF Connor Justus reinstated IL OF Tevin Mitchell IF Marcos Rivera assigned A Beloit RHP Tyler Stevens released Marlins,1
101,1114,lindseyadler Been,0
102,3151,Flat stick got going,0
103,5937,Sevenpitch inning DeSclafani Dbacks get first hit single Smith Reddick bounces DP,0
104,4128,shwrtzbigasmine Oh doubt hire idiot But different idiot,0
105,5352,Nick Castellanos says Reds best yet I think Geno Suárez going start turning India still growing finding potential Major Leaguer httpstcoQQeKOpoc,0
106,7890,ErikRogers Yes,0
107,7592,Good news South Bronx weather seems finally cooperating Game edition Subway Series likely played today httpstcoznCfwAQ httpstcoIYPGsjJF,0
108,13516,ICYMI yesterday Mookie Betts went IL lingering right hip inflammation He flew home expected meet doctors today httpstcoKHWovODF,1
109,4539,Damn What somber dampener celebratory win Hope everything turns OK,0
110,1941,Also Brady House said went game Nationals Park watching Trea Turner since debuted House would,0
111,3323,If want get minor league tea leaf reading business Springfield scratched Justin Toerner tonight Toerner shuttled back forth Memphis year moving probably Nootbaar making immediate return,0
112,9673,Germán Márquez gave two hits run eight innings Seattle Trevor Story Brendan Rodgers hit tworun homers Rockies topped Ms Wednesday Rox sixth road game season,0
113,7486,Seeing future stars httpstcoFEFDwPBNU,0
114,8950,Jeimer Candelario homers first time since May The Tigers take lead fourth inning Opposite field feet leftcenter field,0
115,5643,Connor Wong hit lead double Taylor Ward make best read right later scored JD Martinez RBI single Red Sox back within one Angels T,0
116,7190,AztecsSuns Was San Diego,0
117,10733,CLE wants get another look Eddie Rosario left tonights game But looks sidearea issue Terry Francona said Well probably IL But get looked,1
118,6816,Looking ahead second half vs Twins th G Ureña th G Bullpen th Peralta th Mize That would leave something along lines SkubalManningUreñaPeralta Rangers series July,0
119,3982,We pick next guys take top six sports stories day take Tuesday together Listen httpstcoQNqhdQRBy Watch httpstcoQqUnSNlpR,0
120,9263,Put pitch Hall Fame httpstconcoQHbCG,0
121,8250,Lowest round far afternoon starters TheOpen httpstcormseUOm,0
122,8548,GOOD MORNING EVERYONE WHAT A DAY YESTERDAY WAS,0
123,5149,Yusei Kikuchi strengthened bid spot AllStar team Thursday This conversation would httpstcoJiCPQjnE,0
124,2008,Dillon Tates first major league start wait Tonights OriolesBlue Jays game postponed weather The game made part Sept doubleheader,0
125,3617,And pair doubles far tonight Locastro,0
126,5453,Liam Hendriks mic mound Get bleep button ready,0
127,1910,Yanks walked Altuve This loss sucks httpstcoBNxYas,0
128,2613,jessespector tranquilohijo I hear,0
129,6628,All players beat Astros finalists better firsthalf numbers Michael Brantley finished fifth outfield Cedric Mullins probably start Mike Trouts place ahead This conspiracy stats played,0
130,11741,Given percent healthy struggles continued one month seems highly unlikely Justus Sheffield start turn Sunday Where Mariners go httpstcoPiazLjKvF,1
131,4279,India remain game He stretching shoulder Reds,0
132,6203,ITFDB presented UCLAHealth httpstcooGicmEo,0
133,2547,That career high homers Robbie Grossman season httpstcopLxInzFLC,0
134,894,Taillon strikes two pitch second Still Yankees,0
135,2548,With th pick redsox take prep SS Marcelo Mayer orioles still shot Jordan Lawlar Kahlil Watson Brady House also want prep SS,0
136,5975,Is good httpstcoiuciFdbah,0
137,7481,httpstcoEdJBeCgoiP,0
138,178,The Marlins three outs score least two runs,0
139,10896,The RedSox today reinstated INF Christian Arroyo day IL optioned INFOF Michael Chavis Worcester RHP Eduard Bazardo reinstated minor league IL recalled Worcester placed day IL right lat strain,1
140,11012,Boone Torres experienced cramping hamstring Sundays DH Said still lingering I hoping anything serious Said testing scheduled,1
141,12117,Austin Gomber forearm tightness throw sim game Saturday San Diego decide needs rehab start Jordan Sheffield lat strain started baseball activities They hopeful able next month,1
142,4220,AJ Pollock leads bottom third inning th HR season CF Dodgers lead DBacks,0
143,7657,graphic design passion,0
144,8257,Rodríguez pitch ninth Pirates,0
145,8103,When get Dallas info Connecticut Two months late Shrug,0
146,1182,Marlins Manager Don Mattingly says Anthony Bender getting hard part opponents lineup ATL amp WAS acknowledges like go guy th Didnt say one way Bender getting th inning duties I asked,0
147,3632,jmjones kyler nah httpstcoTAOGlPYxF,0
148,2870,Major League Baseball needs mandate COVID vaccine thoughts DanShaughnessy httpstcoOKhVeXwS,0
149,11808,Giants roster moves OF Jaylin Davis placed day IL left hamstring strain RHP Tyler Beede returned rehab reinstated day IL IFOF Jason Vosler recalled tripleA Sacramento RHP Jimmie Sherfy designated assignment,1
150,10867,The Orioles placed RHP Hunter Harvey day Injured List right lat strain recalled LHP Zac Lowther TripleA Norfolk,1
151,6351,Firefighters rescue dog trapped days walls Northside home httpstcoEsRYHSBQtp,0
152,463,Make entering todays play,0
153,11048,Roansy Contreras diagnosed forearm muscle strain considered encouraging long term Oneil Cruz also diagnosed forearm strain though milder Contreras weeks,1
154,2222,He also replaced Omar Narváez,0
155,748,carmacarmeleon Haven seen details I guess union needs sign suspensions without pay,0
156,7867,FranklinProjUS Imperiled,0
157,9755,Fully updated story four Astros players skipping AllStar Game httpstcolakPUVVKj,0
158,1364,Pretty good explanation,0
159,11977,Mike Tauchman begin rehab assignment TripleA Sacramento today,1
160,10687,Josh James beginning minorleague rehab assignment tonight LowA Fayetteville Kannapolis NC James IL season surgery October repair labral tear left hip,1
161,9340,tferreri looked lot crazier person sorry play impress TV,0
162,3564,Nick Neidert warming bullpen Marlins going need innings,0
163,12928,THIS MAN BEGINS HIS REHAB ASSIGNMENT TODAY httpstcofyeDULPN,1
164,6806,Gilition The wolf strut kills,0
165,3094,Give Red Sox AllStars httpstcoaHmKMwtcI,0
166,292,Kasperi Kapanen impressed first season Penguins even though things control go perfectly I believe primed break Read httpstcosfKwixax Pens THW,0
167,12449,Former James Madison star AJ Davis lost legs accident Now coach team JMU guys TBT plotting return httpstcoYiVfbBcWiZ,1
168,12978,We acquired outfielder Mark Payton Cincinnati exchange cash considerations Payton optioned TripleA Syracuse In addition transferred LHP David Peterson Day Injured List httpstcofFnlBKGf,1
169,8684,jakemkaplan I wondering Jake,0
170,12489,The Red Sox one MLB teams reached vaccination threshold playing catch look like may take BP The Yankees one first teams reach dealing second COVID outbreak year,1
171,14171,Marlins manager Don Mattingly said slowed Pablo Lopez rehab assignment progression returns right rotator cuff strain make start Triple A Jacksonville yesterday It precaution give recovery time,1
172,9896,MatthewHLeach I literally half lifetime ago,0
173,3432,That really difficult play one almost expect Carlos Correa come Brent Strom talk Framber Valdez,0
174,13510,Dinelson Lamet hip infection cleaned yesterday Jayce Tingler said It armrelated gon na little go cut things Is week day setback I know yet,1
175,6712,Giants Nationals The Nationals need All Star break needed All Star break yesterday httpstcohCCWTIcLm,0
176,136,Shaun Anderson yo RHP Orioles claimed waivers Texas Rangers Saturday A former rd round pick Red Sox Anderson used short relief He ERA MLB games starts Giants Twins,0
177,137,The party DeerDistrict able hold Bucks fans SEE YOU THERE Milwaukee httpstcoFwIGIuzh httpstcoMYqmwIh,0
178,5610,Yasmani Grandal Josh Donaldson stuff It go unnoticed If anything thanks getting us awakened little bit,0
179,6264,Jake Bauers Rake Bauers Sorry I show Regardless Mariners like seen short look httpstcoEkTnLoCBwc,0
180,7468,Is Wilson Ramos one games best power hitters The stats show Wilson averaging home run every four bats since joining ball club The numbers lie httpstcojFViZWdMw,0
181,8188,Stop The Treehouse tomorrow drink specials httpstcoIKhepPNt,0
182,12794,Inciarte placed COVID injured list tested negative virus,1
183,11453,Trevor Rosenthal going hip surgery Bob Melvin said We see year Athletics,1
184,3328,BREAKING Trevor Bauer remain administrative leave list good longer Dodgers MLB httpstcoFXlEgLo,0
185,7280,David Ross Cubs skid Were talented let go far,0
186,12724,Evan White miss remainder season following hip surgery The Gold Glove first baseman originally put injured list mid May ANYamashita httpstcoVkSGONQe,1
187,7226,Among Astros pitchers Pressly probably best odds AllStar He fifth ERA first FIP among qualified AL relievers,0
188,4987,Oh God Jeffrey Maier situation Yankee Stadium,0
189,11495,RockDawg On injured list,1
190,2872,On Rays day good time catch latest episode Horsing Around Pete Fairbanks link,0
191,8725,Joey Barts first hit year infield single Jon Lester could field legs,0
192,11854,LaMonte Wade Jr scratched Giants lineup hand injury Brandon Belt showing progress httpstcobfrXicHNj via sfchronicle,1
193,12142,Right hamstring tightness official word Which makes sense Cant remember Cora ever removing guy midgame disciplinary reasons memory best,1
194,5491,The Rangers AllStar break,0
195,11465,Freddy Galvis heading day injured list rightquadriceps strain Orioles announced Konner Wade Stevie Wilkerson optioned Ramón Urías Ryan McKenna Domingo Leyba recalled,1
196,11992,Phillies announce Didi Gregorius reinstated injured list Nick Maton returning tripleA Lehigh Valley,1
197,4711,Brlmkr httpstcoAMsdDAPON,0
198,8682,Dwayne Haskins And Wife Advise People To Not Believe Everything You Read httpstcoPYlbTaVe,0
199,5787,Strike people strut mound httpstcoCDkTdIOQp,0
200,6387,This time Altuve goes shirtless httpstcoGaYHuxNaS,0
201,13424,Aaron Boone says Yankees got good news severity Gleyber Torres thumb injury The initial thought days Boone said But better idea next couple days Torres see specialist,1
202,12198,Ben Cherington says KeBryan Hayes Jacob Stallings scheduled days Says Polanco Tom Moran Evans progressing well Evans Tom initiated baseball activity Pittsburgh,1
203,3419,httpstcoHHNRbeiByn httpstcoAORrmWX httpstcosesjmHPA,0
204,3395,Marlins vs Phillies starting back The rain delay minutes,0
205,11938,Big news today WhiteSox Per team Luis Robert medically cleared increase level baseball activities Glendale Ariz Robert could begin minor league injury rehab assignment late July Optimism high nd half return MLBNetwork MLB,1
206,6025,Additionally Yankees transactions page says B Rougned Odor changed number,0
207,11539,Safe bet Blue Jays want Springer test legs innings field returns majors play CF right away Will also want see feeling comfortable plate Springer last faced live pitching six weeks ago,1
208,12776,NEWS Yankees call Florial place Amburgey IL,1
209,13316,TRANSACTIONS The New York Yankees announced following roster moves Wandy Peralta reinstated COVID list Frederick Cuevas transferred Scranton Somerset Aaron Palensky placed Day Injured List Kevin Gadea transferred Somerset Scranton httpstcoBiqbBzDh,1
210,3095,Sorry I little late usual date MNTwins history content I right get Eddie nap httpstcoiJEfvMXiMA,0
211,6452,The Diamondbacks halfinning This first time Padres trailed since Saturday span innings tied led,0
212,13214,Andrew Adams COVID list Nate Meadors waivedinjured Alex Singleton ramp period return protocol,1
213,13507,ROSTER MOVES DaShawn Keirsey Jr placed CRKernels injured list retroactive August GabeSnyder rehab assignment RookieLevel Florida Complex League Twins httpstcoJXLLglWoo,1
214,13078,We reinstated RHP James Kaprielian day IL optioned RHP Daulton Jefferies AAA Las Vegas httpstcodObCSOTQn,1
215,14044,Truthxx Childhood cancer awareness month,1
216,5646,sportz two better defensive options roster would certainly think,0
217,2742,BucksIn,0
218,13224,Dusty Baker explains Yuli stiff neck gotten much better IL We hate Yuli got long haul httpstcoZntYEFohep,1
219,3500,JanePitt Perhaps poor choice words Hes minutes becoming multimillionaire,0
220,10723,Right hamstring tightness Marwin Gonzalez RedSox,1
221,1127,A nice moment Márquez announced AllStar Coors Field httpstcoIzvreN,0
222,7183,The SFGiants LHP Caleb Smith Austin Slater CF Thairo Estrada SS Mike Yastrzemski L RF Buster Posey C Darin Ruf B Wilmer Flores B Donovan Solano B Jaylin Davis LF Anthony DeSclafani RHP,0
223,2320,The Los Angeles Dodgers selected yearold LHP Maddux Bruns th overall pick first round MLB Draft,0
224,1776,Red Sox top prospect Jarren Duran scratched tonights TripleA Worcester lineup,0
225,1393,Here culprits clubrecord walks Valdez Abreu Taylor Garza Jr,0
226,5891,Good evening In wake another tough loss Yankees notes changes make httpstcoKpNxhmou WhiteSox,0
227,1471,Beautiful night ballpark httpstcoKXhVhhVu,0
228,7077,Nine nine Wander Suero Sam Clay Austin Voth The Bridge Brad Hand alive weird,0
229,987,Casey Mize strikes Adolis Garcia four pitches strikes One,0
230,8696,Game resuming pm PT,0
231,12446,If Judge infectious AllStar break highly likely MLB season set impacted significantly,1
232,11051,Trevor Cahill resumed playing catch flat ground Missed three weeks throwing take time compete Blake Cederlind Jose Soriano continuing recovery TJ surgery,1
233,12044,Dodgers Mookie Betts cites nagging things reason backed ASG wants get healthy second half Betts back shoulder issues first half,1
234,9384,Rolling deep crew AllStarGame httpstcoPvigLOP,0
235,3263,Rays without hit innings vs BlueJays Ray losing,0
236,773,The Pirates win game one They Anderson homers yes right NoGodski RBIs Reynolds dinger Anderson Bednar Rodriguez good mound Well little game,0
237,13947,Solid compensation Patriots consider Michel lengthy injury history final year deal Rams tight spot Michel looked good preseason opportunities perform passcatcher Couldn hurt value,1
238,13498,Cora said Danny Santana Christian Arroyo could start rehab assignments next week RedSox,1
239,4535,This free happening Sadly happening inside computer outside today know much comfortable httpstcofGKqyAQ,0
240,5611,Charlie Montoyo says Reese McGuire earned chance catch lot see Jansen worked well BlueJays,0
241,7318,BravesColdTakes Thanks comment I want let know I duck question I need get context Appreciate,0
242,3188,sungminkim Oh Sung please call someone talk buddy Text Text someone You get help Stay,0
243,2534,The Orioles outscored since Monday Four runs came one inning They losing right,0
244,6352,CardinalHistory malperstl Great beer Good food Fun ballpark Nice fans You blast Happy answer questions,0
245,12815,Updated San Diego Padres rosterdepth chart Yu Darvish activated Day IL Miguel Diaz optioned httpstcoyuCuCItGya Reiss Knehr probable starter Tuesdays game HungryForMore httpstcoNqBXPBVij,1
246,7542,Dominguez singled Videos everything coming soon,0
247,10112,OTD years ago Toronto Blue Jays win games Angels first doubleheader ever played SkyDome David Wells picks win relief games Tom Henke records save contest BlueJays httpstconhHVgyUN,0
248,5357,RANT ALERT MarcMalusis went absolutely BATTY see caller set trying take MandMWFAN task YankeesMets criticism httpstcoLXTjVYX,0
249,10638,Mookie Betts second baseman,0
250,2897,I sure I ever seen someone foul ball face like Jose Ramirez It like took punch Of course finishing atbat,0
251,14013,Kyle Shanahan says Trey Lance sustained micro chip finger provides expected timeline httpstcosXFMOgPIa httpstcolUVLKMeY,1
252,6114,Yankees UDFA signing Jarod Lessar looked really strong today FCL allowing runs one hit two innings relief httpstcommotRKkJB,0
253,6631,I super sad MarkWSanchez leaving Giants beat nypostsports started getting free food day honor I pretty happy,0
254,1627,David Fletcher drove one run Jose Rojas thrown home trying score Shohei Ohtani base hit Initially called safe overturned review Here best look Red Sox end th httpstcoaRAXQCwr,0
255,952,HeikoOldoerp spennyt MLBNetwork tigers RoadtoDetroit MLBPipeline erieseawolves VfL FSVZwickau Mein Freund du hast recht Always great hear Heiko I hope speak soon,0
256,2864,Ryne Stanek warming,0
257,13822,Prior tonight game Yankees made following roster moves LHP Zack Britton day IL retro left elbow sprain OF Jonathan Davis TripleA ScrantonWB RHP Clay Holmes COVID IL,1
258,8311,CoachLRJ I think Little Caesar somewhere near campus FYI,0
259,757,The Pettiness Is Laughable Ariel Helwani Goes Off About His Time At ESPN Full interview available httpstcokmlRMyyQq httpstcoMdaMyjA httpstcoKxieWPKAZl,0
260,7731,OrbitAstros may need put pants,0
261,8681,McCormick Altuves jersey tear It percent coming home run,0
262,11850,Anthony Rendon hamstring Taylor Ward finger lineup today Maddon said neither placed IL Mike Trout right calf hit field today Justin Upton back hit cages,1
263,2112,Dave Jauss Pitch Overlay consecutive pitches httpstcoORxsFBns,0
264,4178,Apparently wellposted leash rules optional WaukeshaCoParks Wish I know ahead time Highly recommend responsible dog parents look elsewhere Sunday hike,0
265,12820,Dodgers third baseman Justin Turner game He took pitch knee earlier game Thats one guy team afford lose,1
266,12315,Anthony Rizzo Kris Bryant back Cubs lineup Patrick Wisdom also playing leaving Wednesdays game following collision Riding sixgame skid David Ross key players back series Cincinnati,1
267,11198,If Red Sox put Santana IL activate Plawecki today catchers case long Wong would go Friday another position player Chavis Cordero would come Just makes sense way Plaw CA,1
268,14183,Hunter Bishop back day IL Only played two games San Jose Giants going back IL,1
269,1661,Chron correspondent latest,0
270,5883,CrawfordMILB Over,0
271,12620,RJPeteQuadsSZN Nope The Wilpons sold They got Lindor Taijuan Walker became AllStar Their main competition Braves bad Like Ozuna DV Soroka Achilles Acuña ACL bad They injuries nearing full strength I still think win easier,1
272,13001,David Bell said determined yet Nick Castellanos placed IL Decision later today Reds,1
273,7913,Stop today Angels make highest overall selection since httpstcookEdgxeva,0
274,4218,MattEhalt Let get thru next And see Degrom Thor ready mid September,0
275,11864,Asdrubal Cabrera hitting striking percent time since returning injured list June,1
276,2092,Okay I definitively say Matt Olson ready Home Run Derby,0
277,10889,Buster Posey tried stay game hurting thumb grimaced catching pitch pulled Giants spend rest night hoping good Xray result,1
278,6045,Draymond Green There definitely really good talent draftThere also good talent league So see happens httpstcoSDkZDMOnr,0
279,10523,Quenneville offers help Blackhawks review httpstcoNHAHAGxbb httpstcobXrUGcbXM,0
280,5798,Eh yeah I clarify combined ABs,0
281,4444,There question changed team Our team changed got httpstcoiqquJbsR,0
282,9697,David Fletcher extends hitting streak games leadoff homer Marco Gonzales tried elevate fastball,0
283,7993,Here stats Astros pitching month August Totals Starting pitching IP ER BB K Relievers IP ER BB K ERA Starting pitching Reliever pitching The bullpen strength,0
284,10287,Padres minors It living suitcase Patrick Kivlehans journey minor league journeyman another stop agenda The Olympics Team USA Plus Fridays scoreboard systems stat leaders httpstcoihozhNX httpstcoVrXRNzG,0
285,10028,Four big games break Lets roll PNCBank httpstcoZhNtXJuPa,0
286,5629,GilmanNate httpstcoXOpYsqgow,0
287,8395,Brewers waiting B help,0
288,8384,FullCountTommy I think oversimplifying based word means different things different people They trade away expiring assets deadline get good playersprospects back What done Yu Darvish trade Thats dif,0
289,393,FirstGentleman Khamdaddy COVID multiverse,0
290,7502,Milwaukee Journal Sentinel It took seven years Bucks owners finally see championship pieces fall place httpstconYmTAUdbB,0
291,12394,The Braves Lose Acuña Rest Season Torn ACL via TrentD READ httpstcovgmyguiRy,1
292,5794,Luis Severinos return Yankees set back month httpstcoiViviVBG via northjersey,0
293,9330,AJ Pollock homered,0
294,8700,hmckee httpstcoIjiPQqwHL,0
295,8421,Per Sox First time Jimenezs career recorded back back multihomer efforts,0
296,5454,How clutch José Peraza Mets season batting coming bench six homers RBI either tied game given Mets lead,0
297,2698,Red Sox working sit limbo No game tonight httpstcoFwyOTIZ,0
298,7392,Jarren Duran callup RedSox I think words express excited I Duran says mom dad girlfriend family hand entire weekend series NY WBZ wbz httpstcoQQIAnuAmlp,0
299,6443,nvthompson What impressed much return athleticism found year I thought grown much physically preceding winter lost much fluidity Well combined muscle something,0
300,2629,AllStar smile AllStarGame httpstcoOLFrdN,0
301,3457,Yordan Alvarez played nd career game tonight hits doubles HRs RBIs walks K OPS,0
302,744,That highlight forever Shohei Ohtani murdered baseball third deck RF,0
303,4002,camo MLB It really The MLB season games We need teams clinching playoff spots games,0
304,8325,HE DOESNT MISS Just like Khris Middleton,0
305,3622,DrunkleBrett Try hold weeks,0
