,injury_report,tweet
38,0,Oh my God we have a Jeffrey Maier situation at Yankee Stadium.
39,0,"@nycuconn It'll be Pillar. Doubt he's bunting, but you never know."
40,0,"I don't cover the Yankees, so I don't know their intricacies. But using Aroldis Chapman instead of just sticking with Chad Green for the seventh seemed questionable 10 minutes ago... and downright silly now.  Chapman is gone. Go-ahead run is in scoring position with no outs."
41,0,"Pete Alonso leads off the seventh with a game-tying homer off Aroldis Chapman. Yankee Stadium is going nuts...and not because of the Yankees fans.  Mets 5, Yankees 5, top seven.  https://t.co/BKtfeGxwwg"
42,0,@Anthony84255563 Chapman is warming.
43,0,"Marcus Stroman's final line:  5 IP, 6 H, 5 R, 3 ER, 1 BB, 0 K, 87 pitches. His ERA is 2.60.  The Mets have three outs to rally. Of note: Yankees closer Aroldis Chapman has allowed 11 runs in his last 5.2 IP.  Yankees 5, Mets 4, mid-six."
44,0,"A one-out single, a shift hit and a Marcus Stroman wild pitch have the Yankees back in front.  Yankees 5, Mets 4, bottom five."
45,0,Gerrit Cole has allowed as many earned runs in his last two starts as Jacob deGrom has allowed all season.
46,0,"And now Francisco Lindor ties it with an RBI single. Six of the first seven hitters in the fourth inning have reached base.  Mets 4, Yankees 4, top four."
47,0,"This time, Brandon Nimmo doesn't leave things up to the replay gods. He swings at the first pitch and laces it into right-center for an RBI single.  And that knocks Gerrit Cole out of the game. He's getting booed by the Yankees fan base.  Yankees 4, Mets 3, top four."
48,0,@RichardStaff @sschreiber13 enough with the bullying
49,0,"Well the Mets are right back in this one.  Michael Conforto walk. Jeff McNeil single. Billy McKinney walk. Tomás Nido RBI single -- all off Gerrit Cole. And the bases are still loaded with no outs.  Yankees 4, Mets 2, top four."
50,0,"Two Yankees singles in the third inning lead to another run off Marcus Stroman. Falling behind in a seven-inning game is a different animal than when the game goes nine.  Yankees 4, Mets 1 after three."
51,0,@MillManner I like to mix ketchup with hot sauce. So yes.
52,0,"Much like the mustard at your Fourth of July BBQs, my timeline is extra zesty today."
53,1,"Sean Reid-Foley heads to the IL, plus other Mets moves and injury updates:   https://t.co/opZVEDTIvt"
54,0,"@ajzahn510 Yeah but Stanton wouldn't have been on base if not for the error, so he wouldn't have scored. Thus, two runs unearned."
55,0,"Tim Locastro adds another on a sacrifice fly, which would have ended the inning if not for Francisco Lindor's error. Only one of the three runs against Marcus Stroman are earned.  Yankees 3, Mets 1 after two."
56,0,"Kyle Higashioka, which is a fun name to say, just ripped a two-run double off Marcus Stroman.  Yankees 2, Mets 1, bottom two."
57,0,@a9c2be7b3c534a3  https://t.co/6Xx68iVGYf
58,0,@jey69404049 Alonso's flyout went 30 feet further than Smith's homer.
59,0,@NeoJudai They are not.
60,0,"Dominic Smith stays hot with a classic Yankee Stadium homer off Gerrit Cole to the short porch in right.  That's Smith's third homer in his last 13 innings.  Mets 1, Yankees 0, top one.  https://t.co/JOLKEOw5Kt"
61,1,Yenssy Díaz is now active. Sean Reid-Foley heads to the IL due to right elbow inflammation.
62,0,"Reliever Yenssy Díaz is also in the house today, though not active yet. The Mets plan to make a move for him before Game 1."
63,0,"The Mets expect to activate Jonathan Villar between games, Luis Rojas confirms. There's a ""good chance"" he starts Game 2 tonight."
64,0,"Corey Oswalt is the Mets' ""No. 1 candidate"" to start Game 2 today, per Luis Rojas. Tropeano is here to provide length out of the bullpen, if needed."
65,0,"Mets Game 79 of 162, @ NYY Sunday, July 4, 2:05 p.m. RHP Gerrit Cole (8-4, 2.66)  Nimmo CF Lindor SS D. Smith DH Alonso 1B Conforto RF McNeil 2B McKinney LF Nido C Guillorme 3B  Stroman RHP (6-6, 2.45)"
66,0,"@jey69404049 Mets haven't confirmed that, no."
67,0,Roster move: pitcher Nick Tropeano has been activated as the Mets' 27th man for today's doubleheader.
68,0,Taijuan Walker said he's somewhat anxious to find out if he made the All-Star team. His teammates certainly feel he deserves it.  Walker's wait will end a little later today.   https://t.co/KpzhEbLLqK
69,0,"Jonathan Villar, who played two rehab games with Triple-A Syracuse, is due to rejoin the Mets today. That leaves only J.D. Davis still absent from the Mets' Opening Day position player mix. (Davis could return this week.)"
70,0,ICYMI: The news on David Peterson (and others who could join the Mets' rotation).   https://t.co/n28EA7j9Af
71,0,It's an Independence Day back-page sweep for the Mets.  https://t.co/lnJ1SJAdqE
72,0,"""This guy is really stinkin' good.""   https://t.co/KpzhEbLLqK"
73,0,Here's Brandon Nimmo on what he can (and already has) brought to the Mets' offense:  https://t.co/bUzlAUO7eb
74,0,"Taijuan Walker says he's ""definitely anxious to find out"" if he's made the All-Star team, even though real games are the top priority for him. (The Mets are 12-3 in his starts.)  https://t.co/aEbsa84QvP"
75,0,"Taijuan Walker, All-Star? We'll find out tomorrow.  For now, he's certainly stated his case:   https://t.co/e7J8TWKEQU"
76,0,@NancyNyMNyGNyR Has to be at least 3.0 IP for the finishing pitcher if the lead is bigger than three runs.
77,0,@NancyNyMNyGNyR He entered with a five-run lead.
78,0,@SheaKitten Maybe just enjoy a nice win and trust he'll come around? You're not going to get two-hit nights from every player every day.
79,0,"FINAL: Mets 8, Yankees 3  WP: Taijuan Walker LP: Jordan Montgomery  📰 Walker perhaps cemented an All-Star bid, while Brandon Nimmo, Dominic Smith, Jeurys Familia and others all excelled.  📊 Record: 42-36 📈 Streak: W1 🏃‍♂️ Pace: 87-75  Next: July 4 @ NYY, 2:05 p.m."
80,1,"A nice return from the injured list for Jeurys Familia, who retired all four batters he faced and struck out three of them.  Mets 8, Yankees 3, mid-seven."
81,0,"@timbhealey That's not true, Tim. Walker is alone in ninth at 2.4353, followed by Yu Darvish in 10th at 2.4375."
82,0,"Well, this is getting hairy. Miguel Castro faces three batters and retires none of them. One of those runs go on Taijuan Walker's line.  Castro out. Jeurys Familia in.  Mets 8, Yankees 3, bottom six."
83,0,"All told, another strong outing from Taijuan Walker:  5.2 IP, 2 H, 1 ER, 2 BB, 5 K, 106 pitches. He's responsible for one man on base.  Walker's 2.33 ERA ranks eighth in the National League. We'll find out this week if that's enough to make him an NL All-Star."
84,0,"@Anthony84255563 It wasn't an absolute bomb, but I'd hardly call 387 feet to the opposite field ""Mickey Mouse."" That's not something that even every Major Leaguer can do."
85,0,"And there's the first hit off Taijuan Walker, taking a difficult decision out of Luis Rojas' hands. It's a solo homer for Aaron Judge.  Mets 8, Yankees 1, bottom six."
86,0,"@reiner_howard I tweet what happens, when it happens. I'll never understand why people think I have an agenda, which seems to be your implication."
87,0,"The Mets are really pouring it on now. Two-run single for Kevin Pillar. They've batted around during a five-run sixth inning.  Subplot: Taijuan Walker has sat for a good, long while.  Mets 8, Yankees 0, top six."
88,0,@ZachMWeber @WayneRandazzo @DeeshaThosar Why do you assume you're the smartest in the room? Soon that attitude will be your doom.
89,0,"Paid attendance at Yankee Stadium this afternoon is 40,047. That's by far the largest crowd the Mets have played in front of since 2019...they haven't played in front of a crowd this large since Aug. 2019 in Philly."
90,0,"@WayneRandazzo @DeeshaThosar I also knew that, yeah."
91,0,@CobyWanKanobi He won't qualify. He'd need to average six PAs per game in every remaining game to do so...not gonna happen.
92,0,"For those of you who were worried, turns out the Mets are probably better than the Yankees.  Francisco Lindor draws a bases-loaded walk and Dominic Smith follows with a two-run double.  Mets 6, Yankees 0, top six."
93,1,"Brandon Nimmo with a three-hit day in his first game back from the IL -- two of those off lefties. If Nimmo had enough plate appearances to qualify, his .446 OBP would lead the Majors, just edging out Vladimir Guerrero Jr."
94,0,"@herrera946 No, I'm just a good typer. Have been clocked at speeds up to 3,000 words per minute."
95,0,"Five hitless innings now for Taijuan Walker, who's allowed three baserunners on two walks and an error. Eighty-seven pitches.  Luis Rojas could have an interesting decision in his future. It's hard to see Walker going *too* much longer.  Mets 3, Yankees 0 after five."
96,0,"It winds up being a mini-breakthrough in the fifth inning for the Mets, who score a second run on James McCann's broken-bat single and a third on a wild pitch.  Mets 3, Yankees 0, mid-five."
97,0,"The Mets have their first run on three consecutive singles to center by Brandon Nimmo, Francisco Lindor and Dominic Smith.  Mets 1, Yankees 0, top five."
98,0,"Four hitless innings now for Taijuan Walker, but they've been inefficient innings. He has thrown 72 pitches.  Mets 0, Yankees 0 after four."
99,1,@UltiMetWarrior Back injury. He'll be out a while yet.
100,0,Carlos Carrasco is on the Citi Field mound practicing fielding.  https://t.co/RN4jlvrRK8
101,0,Mets lineup vs. Brewers’ right-hander Brandon Woodruff:  CF Nimmo SS Lindor LF Smith 1B Alonso 2B McNeil RF Conforto 3B Villar C McCann RHP Megill
102,0,@sschreiber13 green juice
103,0,I’ll be on WFAN talking Mets with Richard Neer in 10 minutes. Tune in. 🎙
104,0,@TomBiersdorfer thanks tom!
105,0,"Sometimes it’s that simple: Mets have juice, Yankees don’t    https://t.co/2EmxUTdbdU"
106,0,"Mets lose, 4-2.  The Mets took two out of three from the Yankees, but again lost the second game of their doubleheader. The offensive performance was encouraging in this Subway Series.  Mets are 43-37."
107,0,"Pete Alonso goes yard, again. He cuts the Yankees' lead to 3-2 with a two-run bomb, his 15th dinger of the year. Perhaps the ice caps are beginning to melt around this polar bear."
108,0,"Yankees get to Corey Oswalt in the second inning with three straight hits, the latter being a three-run homer to right from Gio Urshela.  Mets trail 3-0."
109,0,Mets lineup vs. Yankees' left-hander Nestor Cortes as they go for the sweep ... with the return of the _illar brothers:  CF Nimmo SS Lindor LF Smith 1B Alonso C McCann DH Conforto RF Pillar 3B Villar 2B Peraza  RHP Corey Oswalt
110,0,"Luis Rojas on All-Star selections:  ""We have Jake only. For me, there should've been a couple more guys, and [Taijuan] Walker is one of them. Edwin Diaz, too."""
111,0,"Jonathan Villar activated, Albert Almora optioned."
112,0,"DeGrom earlier today spoke about how he won’t pitch in the All-Star Game, and is still deciding whether or not he will physically attend the Coors Field festivities.  https://t.co/UhhEMkokmD"
113,0,"Jacob deGrom has officially been named an NL All-Star. In a snub to Taijuan Walker, deGrom is the only player representing the Mets.  This is deGrom's fourth All-Star nod in his eight-year career."
114,0,Narrator: It didn't matter.
115,0,"Mets win, 10-5.  That six-run rally in the seventh inning was an epic comeback from the Mets offense. Straight up an instant classic. Meanwhile, the Bronx is burning.  Momentum is certainly in the Mets' favor as we turn the page to Game 2. Mets have a 43-36 record."
116,0,"Jose Peraza's line drive to the left-field wall, interrupted by catch interference, was ruled a two-run double. Then Brandon Nimmo cleared the bases with a two-run single.  So, the Mets have taken a 9-5 lead over the Yankees in the seventh. They are three outs away from a W."
117,0,This freaking guy  https://t.co/QYt06MvZva
118,0,"Still confused why Mets third-base coach Gary DiSarcina put up the stop sign for Michael Conforto at third base on Kevin Pillar's single. Gleyber Torres was backpedaling toward the ball. There maybe wouldn't have been a throw home, even. And on no outs? Odd decision."
119,0,@jwman92 he was looming in the on-deck circle during mcneil's at-bat
120,0,"Chapman is booed off the mound as the Mets have something cooking in the seventh.  Runners on first and second for pinch-hitter Kevin Pillar who, in case you haven't heard, tends to welcome the clutch spots."
121,0,Pete Alonso had a blast as he rounded the bases on a game-tying home run to left field off Aroldis Chapman.  Another Yankees' tragedy is the Mets' gain. Game tied at 5-5 in the seventh and final inning of this early doubleheader.
122,0,Today was the first time in Marcus Stroman's career that he recorded no strikeouts in an outing where he pitched at least two innings.
123,0,"Stroman surrendered his third earned run of the afternoon on a wild pitch, which could end up being the difference in this seven-inning game.  Mets trail Yankees 5-4. We head to the sixth."
124,0,@thetanman36 feels like a 4-4 tied game still warrants some degree of pump
125,0,"Hey, the Mets are out-hitting the Yankees again, 7-4.  Francisco Lindor's RBI single ties the game at 4-4 in a top of the fourth that just never ends."
126,0,"Brandon Nimmo knocks Gerrit Cole from his start with an RBI single. Mets are clawing back. They trail 4-3 in the fourth.  Nimmo, yesterday: “There’s something to a little bit of change, a little bit of something new. That sometimes spices things up.”"
127,0,"Following a nice eight-pitch walk from Billy McKinney that loaded the bases with no outs, Tomas Nido rips an RBI single to right field in his first game back from the IL.  Mets cut their deficit to 4-2 in the fourth. Bases still loaded with no outs."
128,0,Mets are in a 4-1 hole after three innings. They'll need some of that come-from-behind juice for this one.
129,0,Pete Alonso couldn't lay off a high fastball from Cole for a swinging K that strands two runners on the bases. Have seen Alonso bite at a ton of those high heaters from Yankee pitchers this series.
130,0,"Nimmo and Voit's race to first base looked like a tie in real time, but in replay clearly Nimmo got there first. But the call stands. Nimmo is out. Luis Rojas is big mad.  https://t.co/fjh9oo0q22"
131,0,"Yankees take advantage of Francisco Lindor's error that should've been a double play. Kyle Higashioka's two-run double gives the Yankees a 2-1 lead, though just one of those runs was charged to Marcus Stroman."
132,0,Dominic Smith puts the Mets on the board first this Independence Day. He skies a solo shot to right field off Gerrit Cole.  Mets take an early 1-0 lead over the Yankees in the first inning.
133,0,"Jonathan Villar will likely be activated in between games today. “Big chance he starts the second game,” Luis Rojas said."
134,0,Mets lineup vs. Yankees’ Gerrit Cole in Game 1 of doubleheader:  CF Nimmo SS Lindor DH Smith 1B Alonso RF Conforto 2B McNeil LF McKinney C Nido 3B Guillorme  RHP Stroman
135,0,@dpyoung13 @mroberson22 @TomBiersdorfer oh hell yeah 🔥🔥
136,0,"A steady drizzle, an uncharacteristically cold July day, and the Yankees were no challenge for a Mets team that has sat in first place for exactly eight weeks.   https://t.co/GqS7FDbvgX"
137,0,"""He’s a guy that, for me, deserves to be in the All-Star Game. Taijuan Walker has been another ace for us."" -Luis Rojas"
138,0,"Brandon Nimmo: ""I don't know if I feel a responsibility for it, but I feel like I can be that [catalyst] just by being me."""
139,0,"Mets win, 8-3.   Taijuan Walker was excellent again, bringing a no-hitter into the sixth inning. Brandon Nimmo was the spark plug the Mets so clearly missed. The offense out-hit the Yankees, 14-3.  Mets are 42-36. They have sat in first place for exactly eight weeks."
140,1,"Jeurys Familia, in his first relief appearance since coming off the IL, defuses the Yankees' scoring with a big strikeout against Miguel Andujar in the sixth.  Mets still lead 8-3."
141,0,Taijuan Walker is done after 5.2 innings against the Yankees. He got a partial standing ovation from Mets fans who know a strong pitching performance when they see one.  Walker's ERA is 2.33 through 15 starts. He's been the definition of consistent for the Mets.
142,0,Aaron Judge breaks up Taijuan Walker's no-hitter in the sixth with a solo shot to right field.  Mets still have a significant 8-1 lead.
143,0,@AnthonyDiComo @ZachMWeber @WayneRandazzo wayne doesn't get it
144,0,@WayneRandazzo @AnthonyDiComo  https://t.co/QnAjK3V6S4
145,0,DYK?  Mets have a 32-6 record this season when they score four or more runs.
146,0,"Mets just lit up their former teammate Justin Wilson.  Five straight batters reached base against him, with Dominic Smith putting the exclamation point on a sixth-inning rally with a two-run double.   Mets take a 6-0 lead over the Yankees."
147,0,"Mets fans are on their feet in the Bronx after Taijuan Walker records five no-hit innings against the Yankees. His pitch count (87) suggests he has one more inning in him, but there is some movement happening in the Mets bullpen."
148,0,"Dominic Smith, picking up from where left off on Thursday, rips an RBI single to score the first run of the game. That's his second hit today. Mets take a 1-0 lead over the Yankees in the fifth."
149,0,"Francisco Lindor has reached base in all three of his plate appearances today, two via base hits."
150,0,"Taijuan Walker is dealing. Four scoreless innings vs. the Yankees with four strikeouts (including two Ks against Giancarlo Stanton). Walker's already at 72 pitches, though."
151,0,"Mets had runners in scoring position with one out in the third. They did not score. We are still scoreless.  However, Mets are making Jordan Montgomery work. The Yankees' left-hander is at 54 pitches after three."
152,0,Mets' first inning against Yanks' Montgomery:  Single Walk Strikeout Fly out Strikeout
153,1,"The details on David Peterson's oblique strain, plus encouraging updates on Carlos Carrasco and Noah Syndergaard within:   https://t.co/Vmp83XxPjt"
154,0,Brandon Nimmo slices a leadoff single to right field in his first at-bat since April 30.
155,0,Straight up tone-deaf.
156,0,"@dylanobrien can't argue with baseball ref, dylan (and they haven't even added June yet)  https://t.co/9E51odFZk5"
157,0,Mets owner Steve Cohen responds to this informative Daily News article from @dpyoung13:  https://t.co/S4nI0xM579
158,0,"Carlos Carrasco's ""fastball velocity was similar to where it is mid-season"" in his first bullpen session throwing off the rubber, per Luis Rojas."
159,0,"Also, Noah Syndergaard picked up a ball ahead of schedule. He could throw off a mound in a couple of weeks, but he's still on track to return to the Mets around Sept. 1."
160,1,"Mets news:  -Carlos Carrasco could join the team by late July/early August  -David Peterson is out for around 8 weeks with an oblique strain  -Tylor Megill will start on Monday instead of tomorrow, looks like Corey Oswalt could start Game 2 doubleheader vs. Yanks"
161,0,Mets lineup vs. Yankees’ left-hander Jordan Montgomery:  CF Nimmo SS Lindor 1B Smith DH Alonso C McCann RF Conforto LF Pillar 2B McNeil 3B Peraza  RHP Taijuan Walker
162,0,"Mets updated rotation vs. Yankees:  Tomorrow: Taijuan Walker Sunday, Game 1: Marcus Stroman Sunday, Game 2: Tylor Megill"
163,0,Six words that will either make or break your Fourth of July plans:   Subway Series split doubleheader on Sunday.  Game 1 first pitch at 2:05 p.m. Game 2 at 7:05 p.m.
164,0,"Oh man, what a heartbreak for the fans at Yankee Stadium right now.  They started cheering when Taijuan Walker came on the field to throw, and fans started scrambling back to their seats... only to be told the game is #banged. Lots of boos."
165,0,"@RamirezRylen yes ive been keeping an update to myself this whole time  (no, sorry)"
166,0,🥱😴
167,0,"Even if the Mets used to think they “lost” Trevor Bauer, the club certainly won with Taijuan Walker and Luis Rojas.  Plus more notes on Brandon Nimmo looking to bring a ""grittiness"" to the Mets lineup, and an encouraging update on Jonathan Villar:  https://t.co/gbDmRg2fDF"
168,0,@stlouilmette i did not ask that question
169,0,Luis Rojas' answer when asked if he's relieved the Mets did not sign Trevor Bauer: “You know what I’m happy for? That we signed Taijuan Walker. I’m really excited for that. He’s been one of those guys that’s led us to have that camaraderie. He’s just an outstanding person.”
170,1,Jonathan Villar (calf tightness) is feeling much better and could return to the Mets in time for the Subway Series this weekend.
171,1,"Mets are still waiting for David Peterson’s MRI result. For now, all they know for certain is he will miss his next start with what they are calling right side soreness."
172,0,Jacob deGrom has been named the NL’s Pitcher of the Month for June. It’s his second career such award.
173,1,"Mets roster moves:  -Stroman reinstated from bereavement list  -Familia, Nido, and Nimmo reinstated from IL  -Peterson placed on the 10-day IL with right side soreness  -Mazeika, Blankenhorn and Szapucki optioned to Triple-A Syracuse"
174,0,Mets lineup vs. Yankees’ left-hander Jordan Montgomery:   CF Nimmo SS Lindor 1B Smith DH Alonso C McCann 2B NcNeil LF Pillar RF McKinney 3B Peraza  RHP Taijuan Walker
175,1,Tomas Nido (wrist contusion) is back with the Mets. He says he’ll be active tonight.
176,0,Source: Mets traded minor league third baseman Will Toffey to the San Francisco Giants for left-hander Anthony Banda.  Banda has pitched 18 games (5 starts) in the major leagues for the D-backs &amp; Rays from 2017-2020. He has a 6.86 ERA in 10 games (39.1 IP) for Triple-A this year.
177,0,"Mets’ stretch of 16 straight games against divisional opponents ended last night. They began the stretch on June 18 with a 4.5 gm lead in the NL East.   Then they put up these results:  vs. Nationals: 1-4 vs. Braves: 3-4 vs. Phillies: 2-2  Mets still in first place, but by 2 gms."
178,0,What a thoughtless way of handling this
179,0,"@BackPageGuyNYDN @TomBiersdorfer 😂 then the sentiment remains (but nice job as usual, tom)"
180,0,Shoutout to @BackPageGuyNYDN @TomBiersdorfer for killing the layout on this in today’s paper. 🔥  https://t.co/zl2ACsbBVo
181,0,It takes more than mere heroism to elevate from a Cy Young winner to a living legend. It takes something very unfamiliar to the Mets across the years: a healthy dose of luck.  ✍🏽 Column on Jacob deGrom:  https://t.co/AocjE7dbWl
182,0,"""Hopefully the seventh inning today was a rallying point that we can take into the All-Star break and beyond.”  The Mets lineup, dangerously lackluster lately, at long last received the fuel it needed to put another come-from-behind-win on the ledger.   https://t.co/5iPU4877eq"
183,0,"Tylor Megill has a ""too cool for school attitude,"" says his catcher, James McCann."
184,0,"Mets win, 4-3.  Tylor Megill has shown flashes of excellence in two career starts. James McCann hit a clutch three-run bomb, his seventh HR of the year. Edwin Diaz has successfully converted 17 of his 18 save opportunities this season. Mets bullpen was dominant.  Mets are 41-34."
185,0,"Francisco Lindor delivers a huge two-out, go-ahead RBI single. It came after Jose Peraza's clutch pinch-hit double.  Mets scored four runs in a seventh inning that began with a three-run deficit.  They lead the Braves, 4-3."
186,0,@ChuckLampert lol ok!
187,0,"The clutch hit the Mets were dying to see: James McCann skies a three-run, game-tying home run in the seventh inning off Charlie Morton.  Tied game."
188,0,"Megill gives up a three-run shot to Ozzie Albies. That's a shame for the rookie starter, who again brought a shutout into the fifth inning and, just like Megill's last time out, a home run opened the scoring.  Mets trail Braves 3-0 in the fifth."
189,0,"Tylor Megill starts his night with three straight Ks. Three-pitch ꓘ to Ronald Acuna (his first career meeting against Atlanta's young slugger) and a three-pitch K to Freddie Freeman. He threw eight straight strikes, missing his chance at an immaculate inning by *this* much."
190,0,"Jeurys Familia and Tomas Nido start rehab assignments tonight for Syracuse, says Luis Rojas.  J.D. Davis will join Syracuse tomorrow, followed by Jonathan Villar on Thursday."
191,0,Mets make a roster move:  Thomas Szapucki recalled from Triple-A Syracuse.  Jerad Eickoff designated for assignment.
192,0,Mets lineup vs. Braves’ right-hander Charlie Morton:  2B McNeil SS Lindor RF Conforto 1B Alonso LF Smith CF Pillar C McCann 3B Guillorme RHP Megill
193,0,"Smoke machines. Lasers. Music thumping. Dimmed lights. Dancing Mets.  ICYMI: The Mets are celebrating wins differently this year, even without Carlos Beltran and Yoenis Cespedes. Story ➡️  https://t.co/z7piPUoLct  https://t.co/hpKXRAJjlv"
194,0,@dskolnick Guessing you didn’t read the story.
195,0,"Earlier in the year, the Mets said they were waiting for consistency in their disjointed schedule. Then they were waiting for the weather to warm up. Now, they’re waiting for injured players to rejoin the team.   https://t.co/les2mxsUbX"
196,0,"Pete Alonso: ""We're in the driver's seat right now and we intend to keep it that way."""
197,0,"Marcus Stroman will not be with the team for some time. He will be with his family following the recent passing of his grandmother. Mets expect him to make his next start (lined up for Friday vs. the Yankees), but he'd need to go through his routine before then."
198,0,"Zack Wheeler had Jacob deGrom's slider today, in Luis Rojas' opinion."
199,0,"Mets lose, 4-2.  They went 4-4 on the homestand against the Braves and Phillies.   Mets are 40-33."
200,0,@Joshstros Dusty prefers the four-man bench.
201,0,@fraingarza @CardsAstros  https://t.co/bpVL01c35U
202,0,"Optioning three players and activating only two suggests someone else will be activated tomorrow. Bryan Abreu threw back to back days in Triple A on Friday and Saturday. He's probably ready. Joe Smith seems close, too."
203,0,"Yordan Alvarez and Martín Maldonado will be active for the Astros’ series opener against the A’s tomorrow.  Garrett Stubbs, Ralph Garza and Peter Solomon were optioned to Triple A after yesterday’s game."
204,0,@raford3 Nope.
