,injury_report,tweet,data_cleaned
79,0,"FINAL: Mets 8, Yankees 3  WP: Taijuan Walker LP: Jordan Montgomery  📰 Walker perhaps cemented an All-Star bid, while Brandon Nimmo, Dominic Smith, Jeurys Familia and others all excelled.  📊 Record: 42-36 📈 Streak: W1 🏃‍♂️ Pace: 87-75  Next: July 4 @ NYY, 2:05 p.m.",FINAL Mets Yankees WP Taijuan Walker LP Jordan Montgomery Walker perhaps cemented AllStar bid Brandon Nimmo Dominic Smith Jeurys Familia others excelled Record Streak W Pace Next July NYY pm
80,1,"A nice return from the injured list for Jeurys Familia, who retired all four batters he faced and struck out three of them.  Mets 8, Yankees 3, mid-seven.",A nice return injured list Jeurys Familia retired four batters faced struck three Mets Yankees midseven
81,0,"@timbhealey That's not true, Tim. Walker is alone in ninth at 2.4353, followed by Yu Darvish in 10th at 2.4375.",timbhealey Thats true Tim Walker alone ninth followed Yu Darvish th
82,0,"Well, this is getting hairy. Miguel Castro faces three batters and retires none of them. One of those runs go on Taijuan Walker's line.  Castro out. Jeurys Familia in.  Mets 8, Yankees 3, bottom six.",Well getting hairy Miguel Castro faces three batters retires none One runs go Taijuan Walkers line Castro Jeurys Familia Mets Yankees bottom six
83,0,"All told, another strong outing from Taijuan Walker:  5.2 IP, 2 H, 1 ER, 2 BB, 5 K, 106 pitches. He's responsible for one man on base.  Walker's 2.33 ERA ranks eighth in the National League. We'll find out this week if that's enough to make him an NL All-Star.",All told another strong outing Taijuan Walker IP H ER BB K pitches Hes responsible one man base Walkers ERA ranks eighth National League Well find week enough make NL AllStar
84,0,"@Anthony84255563 It wasn't an absolute bomb, but I'd hardly call 387 feet to the opposite field ""Mickey Mouse."" That's not something that even every Major Leaguer can do.",Anthony It absolute bomb I would hardly call feet opposite field Mickey Mouse Thats something even every Major Leaguer
85,0,"And there's the first hit off Taijuan Walker, taking a difficult decision out of Luis Rojas' hands. It's a solo homer for Aaron Judge.  Mets 8, Yankees 1, bottom six.",And first hit Taijuan Walker taking difficult decision Luis Rojas hands Its solo homer Aaron Judge Mets Yankees bottom six
86,0,"@reiner_howard I tweet what happens, when it happens. I'll never understand why people think I have an agenda, which seems to be your implication.",reinerhoward I tweet happens happens I never understand people think I agenda seems implication
87,0,"The Mets are really pouring it on now. Two-run single for Kevin Pillar. They've batted around during a five-run sixth inning.  Subplot: Taijuan Walker has sat for a good, long while.  Mets 8, Yankees 0, top six.",The Mets really pouring Tworun single Kevin Pillar Theyve batted around fiverun sixth inning Subplot Taijuan Walker sat good long Mets Yankees top six
88,0,@ZachMWeber @WayneRandazzo @DeeshaThosar Why do you assume you're the smartest in the room? Soon that attitude will be your doom.,ZachMWeber WayneRandazzo DeeshaThosar Why assume smartest room Soon attitude doom
89,0,"Paid attendance at Yankee Stadium this afternoon is 40,047. That's by far the largest crowd the Mets have played in front of since 2019...they haven't played in front of a crowd this large since Aug. 2019 in Philly.",Paid attendance Yankee Stadium afternoon Thats far largest crowd Mets played front since played front crowd large since Aug Philly
90,0,"@WayneRandazzo @DeeshaThosar I also knew that, yeah.",WayneRandazzo DeeshaThosar I also knew yeah
91,0,@CobyWanKanobi He won't qualify. He'd need to average six PAs per game in every remaining game to do so...not gonna happen.,CobyWanKanobi He qualify Hed need average six PAs per game every remaining game sonot gon na happen
92,0,"For those of you who were worried, turns out the Mets are probably better than the Yankees.  Francisco Lindor draws a bases-loaded walk and Dominic Smith follows with a two-run double.  Mets 6, Yankees 0, top six.",For worried turns Mets probably better Yankees Francisco Lindor draws basesloaded walk Dominic Smith follows tworun double Mets Yankees top six
93,1,"Brandon Nimmo with a three-hit day in his first game back from the IL -- two of those off lefties. If Nimmo had enough plate appearances to qualify, his .446 OBP would lead the Majors, just edging out Vladimir Guerrero Jr.",Brandon Nimmo threehit day first game back IL two lefties If Nimmo enough plate appearances qualify OBP would lead Majors edging Vladimir Guerrero Jr
94,0,"@herrera946 No, I'm just a good typer. Have been clocked at speeds up to 3,000 words per minute.",herrera No I good typer Have clocked speeds words per minute
95,0,"Five hitless innings now for Taijuan Walker, who's allowed three baserunners on two walks and an error. Eighty-seven pitches.  Luis Rojas could have an interesting decision in his future. It's hard to see Walker going *too* much longer.  Mets 3, Yankees 0 after five.",Five hitless innings Taijuan Walker allowed three baserunners two walks error Eightyseven pitches Luis Rojas could interesting decision future Its hard see Walker going much longer Mets Yankees five
96,0,"It winds up being a mini-breakthrough in the fifth inning for the Mets, who score a second run on James McCann's broken-bat single and a third on a wild pitch.  Mets 3, Yankees 0, mid-five.",It winds minibreakthrough fifth inning Mets score second run James McCanns brokenbat single third wild pitch Mets Yankees midfive
97,0,"The Mets have their first run on three consecutive singles to center by Brandon Nimmo, Francisco Lindor and Dominic Smith.  Mets 1, Yankees 0, top five.",The Mets first run three consecutive singles center Brandon Nimmo Francisco Lindor Dominic Smith Mets Yankees top five
98,0,"Four hitless innings now for Taijuan Walker, but they've been inefficient innings. He has thrown 72 pitches.  Mets 0, Yankees 0 after four.",Four hitless innings Taijuan Walker inefficient innings He thrown pitches Mets Yankees four
99,1,@UltiMetWarrior Back injury. He'll be out a while yet.,UltiMetWarrior Back injury Hell yet
100,0,Carlos Carrasco is on the Citi Field mound practicing fielding.  https://t.co/RN4jlvrRK8,Carlos Carrasco Citi Field mound practicing fielding httpstcoRNjlvrRK
101,0,Mets lineup vs. Brewers’ right-hander Brandon Woodruff:  CF Nimmo SS Lindor LF Smith 1B Alonso 2B McNeil RF Conforto 3B Villar C McCann RHP Megill,Mets lineup vs Brewers righthander Brandon Woodruff CF Nimmo SS Lindor LF Smith B Alonso B McNeil RF Conforto B Villar C McCann RHP Megill
102,0,@sschreiber13 green juice,sschreiber green juice
103,0,I’ll be on WFAN talking Mets with Richard Neer in 10 minutes. Tune in. 🎙,I WFAN talking Mets Richard Neer minutes Tune
104,0,@TomBiersdorfer thanks tom!,TomBiersdorfer thanks tom
105,0,"Sometimes it’s that simple: Mets have juice, Yankees don’t    https://t.co/2EmxUTdbdU",Sometimes simple Mets juice Yankees httpstcoEmxUTdbdU
106,0,"Mets lose, 4-2.  The Mets took two out of three from the Yankees, but again lost the second game of their doubleheader. The offensive performance was encouraging in this Subway Series.  Mets are 43-37.",Mets lose The Mets took two three Yankees lost second game doubleheader The offensive performance encouraging Subway Series Mets
107,0,"Pete Alonso goes yard, again. He cuts the Yankees' lead to 3-2 with a two-run bomb, his 15th dinger of the year. Perhaps the ice caps are beginning to melt around this polar bear.",Pete Alonso goes yard He cuts Yankees lead tworun bomb th dinger year Perhaps ice caps beginning melt around polar bear
108,0,"Yankees get to Corey Oswalt in the second inning with three straight hits, the latter being a three-run homer to right from Gio Urshela.  Mets trail 3-0.",Yankees get Corey Oswalt second inning three straight hits latter threerun homer right Gio Urshela Mets trail
109,0,Mets lineup vs. Yankees' left-hander Nestor Cortes as they go for the sweep ... with the return of the _illar brothers:  CF Nimmo SS Lindor LF Smith 1B Alonso C McCann DH Conforto RF Pillar 3B Villar 2B Peraza  RHP Corey Oswalt,Mets lineup vs Yankees lefthander Nestor Cortes go sweep return illar brothers CF Nimmo SS Lindor LF Smith B Alonso C McCann DH Conforto RF Pillar B Villar B Peraza RHP Corey Oswalt
110,0,"Luis Rojas on All-Star selections:  ""We have Jake only. For me, there should've been a couple more guys, and [Taijuan] Walker is one of them. Edwin Diaz, too.""",Luis Rojas AllStar selections We Jake For couple guys Taijuan Walker one Edwin Diaz
111,0,"Jonathan Villar activated, Albert Almora optioned.",Jonathan Villar activated Albert Almora optioned
112,0,"DeGrom earlier today spoke about how he won’t pitch in the All-Star Game, and is still deciding whether or not he will physically attend the Coors Field festivities.  https://t.co/UhhEMkokmD",DeGrom earlier today spoke pitch AllStar Game still deciding whether physically attend Coors Field festivities httpstcoUhhEMkokmD
113,0,"Jacob deGrom has officially been named an NL All-Star. In a snub to Taijuan Walker, deGrom is the only player representing the Mets.  This is deGrom's fourth All-Star nod in his eight-year career.",Jacob deGrom officially named NL AllStar In snub Taijuan Walker deGrom player representing Mets This deGroms fourth AllStar nod eightyear career
114,0,Narrator: It didn't matter.,Narrator It matter
115,0,"Mets win, 10-5.  That six-run rally in the seventh inning was an epic comeback from the Mets offense. Straight up an instant classic. Meanwhile, the Bronx is burning.  Momentum is certainly in the Mets' favor as we turn the page to Game 2. Mets have a 43-36 record.",Mets win That sixrun rally seventh inning epic comeback Mets offense Straight instant classic Meanwhile Bronx burning Momentum certainly Mets favor turn page Game Mets record
116,0,"Jose Peraza's line drive to the left-field wall, interrupted by catch interference, was ruled a two-run double. Then Brandon Nimmo cleared the bases with a two-run single.  So, the Mets have taken a 9-5 lead over the Yankees in the seventh. They are three outs away from a W.",Jose Perazas line drive leftfield wall interrupted catch interference ruled tworun double Then Brandon Nimmo cleared bases tworun single So Mets taken lead Yankees seventh They three outs away W
117,0,This freaking guy  https://t.co/QYt06MvZva,This freaking guy httpstcoQYtMvZva
118,0,"Still confused why Mets third-base coach Gary DiSarcina put up the stop sign for Michael Conforto at third base on Kevin Pillar's single. Gleyber Torres was backpedaling toward the ball. There maybe wouldn't have been a throw home, even. And on no outs? Odd decision.",Still confused Mets thirdbase coach Gary DiSarcina put stop sign Michael Conforto third base Kevin Pillars single Gleyber Torres backpedaling toward ball There maybe would throw home even And outs Odd decision
119,0,@jwman92 he was looming in the on-deck circle during mcneil's at-bat,jwman looming ondeck circle mcneils atbat
120,0,"Chapman is booed off the mound as the Mets have something cooking in the seventh.  Runners on first and second for pinch-hitter Kevin Pillar who, in case you haven't heard, tends to welcome the clutch spots.",Chapman booed mound Mets something cooking seventh Runners first second pinchhitter Kevin Pillar case heard tends welcome clutch spots
121,0,Pete Alonso had a blast as he rounded the bases on a game-tying home run to left field off Aroldis Chapman.  Another Yankees' tragedy is the Mets' gain. Game tied at 5-5 in the seventh and final inning of this early doubleheader.,Pete Alonso blast rounded bases gametying home run left field Aroldis Chapman Another Yankees tragedy Mets gain Game tied seventh final inning early doubleheader
122,0,Today was the first time in Marcus Stroman's career that he recorded no strikeouts in an outing where he pitched at least two innings.,Today first time Marcus Stromans career recorded strikeouts outing pitched least two innings
123,0,"Stroman surrendered his third earned run of the afternoon on a wild pitch, which could end up being the difference in this seven-inning game.  Mets trail Yankees 5-4. We head to the sixth.",Stroman surrendered third earned run afternoon wild pitch could end difference seveninning game Mets trail Yankees We head sixth
124,0,@thetanman36 feels like a 4-4 tied game still warrants some degree of pump,thetanman feels like tied game still warrants degree pump
125,0,"Hey, the Mets are out-hitting the Yankees again, 7-4.  Francisco Lindor's RBI single ties the game at 4-4 in a top of the fourth that just never ends.",Hey Mets outhitting Yankees Francisco Lindors RBI single ties game top fourth never ends
126,0,"Brandon Nimmo knocks Gerrit Cole from his start with an RBI single. Mets are clawing back. They trail 4-3 in the fourth.  Nimmo, yesterday: “There’s something to a little bit of change, a little bit of something new. That sometimes spices things up.”",Brandon Nimmo knocks Gerrit Cole start RBI single Mets clawing back They trail fourth Nimmo yesterday There something little bit change little bit something new That sometimes spices things
